iamc_r10,year,CO2
EAS,1758,0
EAS,1759,0
EAS,1760,0
EAS,1761,0
EAS,1762,0
EAS,1763,0
EAS,1764,0
EAS,1765,0
EAS,1766,0
EAS,1767,0
EAS,1768,0
EAS,1769,0
EAS,1770,0
EAS,1771,0
EAS,1772,0
EAS,1773,0
EAS,1774,0
EAS,1775,0
EAS,1776,0
EAS,1777,0
EAS,1778,0
EAS,1779,0
EAS,1780,0
EAS,1781,0
EAS,1782,0
EAS,1783,0
EAS,1784,0
EAS,1785,0
EAS,1786,0
EAS,1787,0
EAS,1788,0
EAS,1789,0
EAS,1790,0
EAS,1791,0
EAS,1792,0
EAS,1793,0
EAS,1794,0
EAS,1795,0
EAS,1796,0
EAS,1797,0
EAS,1798,0
EAS,1799,0
EAS,1800,0
EAS,1801,0
EAS,1802,0
EAS,1803,0
EAS,1804,0
EAS,1805,0
EAS,1806,0
EAS,1807,0
EAS,1808,0
EAS,1809,0
EAS,1810,0
EAS,1811,0
EAS,1812,0
EAS,1813,0
EAS,1814,0
EAS,1815,0
EAS,1816,0
EAS,1817,0
EAS,1818,0
EAS,1819,0
EAS,1820,0
EAS,1821,0
EAS,1822,0
EAS,1823,0
EAS,1824,0
EAS,1825,0
EAS,1826,0
EAS,1827,0
EAS,1828,0
EAS,1829,0
EAS,1830,0
EAS,1831,0
EAS,1832,0
EAS,1833,0
EAS,1834,0
EAS,1835,0
EAS,1836,0
EAS,1837,0
EAS,1838,0
EAS,1839,0
EAS,1840,0
EAS,1841,0
EAS,1842,0
EAS,1843,0
EAS,1844,0
EAS,1845,0
EAS,1846,0
EAS,1847,0
EAS,1848,0
EAS,1849,0
EAS,1850,0
EAS,1851,0
EAS,1852,0
EAS,1853,0
EAS,1854,0
EAS,1855,0
EAS,1856,0
EAS,1857,0
EAS,1858,0
EAS,1859,0
EAS,1860,0
EAS,1861,0
EAS,1862,0
EAS,1863,0
EAS,1864,0
EAS,1865,0
EAS,1866,0
EAS,1867,0
EAS,1868,0
EAS,1869,0
EAS,1870,0
EAS,1871,0
EAS,1872,0
EAS,1873,0
EAS,1874,0
EAS,1875,0
EAS,1876,0
EAS,1877,0
EAS,1878,0
EAS,1879,0
EAS,1880,0
EAS,1881,0
EAS,1882,0
EAS,1883,0
EAS,1884,0
EAS,1885,0
EAS,1886,0
EAS,1887,0
EAS,1888,0
EAS,1889,0
EAS,1890,0
EAS,1891,0
EAS,1892,0
EAS,1893,0
EAS,1894,0
EAS,1895,0
EAS,1896,0
EAS,1897,0
EAS,1898,0
EAS,1899,0
EAS,1900,0
EAS,1901,0
EAS,1902,0
EAS,1903,0
EAS,1904,0
EAS,1905,7.71e-7
EAS,1906,0
EAS,1907,0.019893871
EAS,1908,0.022735853
EAS,1909,0.024259868
EAS,1910,0.025019851
EAS,1911,0.024642849
EAS,1912,0.017044580999999996
EAS,1913,0.02426951
EAS,1914,0.026744064
EAS,1915,0.02545259
EAS,1916,0.030157301
EAS,1917,0.032023449
EAS,1918,0.034774189
EAS,1919,0.03802834199999999
EAS,1920,0.040318762
EAS,1921,0.038806123
EAS,1922,0.040015878000000005
EAS,1923,0.046570587000000004
EAS,1924,0.04890181600000001
EAS,1925,0.046043742000000006
EAS,1926,0.043755622
EAS,1927,0.045907505
EAS,1928,0.047705411
EAS,1929,0.048412767
EAS,1930,0.049681874
EAS,1931,0.052035405
EAS,1932,0.050423233
EAS,1933,0.054292837000000004
EAS,1934,0.062624212
EAS,1935,0.07293011899999999
EAS,1936,0.075810748
EAS,1937,0.071325463
EAS,1938,0.06189751
EAS,1939,0.07510470899999999
EAS,1940,0.091592173
EAS,1941,0.11492701300000001
EAS,1942,0.128600288
EAS,1943,0.10995094
EAS,1944,0.104014041
EAS,1945,0.055895841
EAS,1946,0.036594329
EAS,1947,0.042751925999999996
EAS,1948,0.04009627
EAS,1949,0.0642865
EAS,1950,0.082623537
EAS,1951,0.106889078
EAS,1952,0.133297054
EAS,1953,0.140509541
EAS,1954,0.168343988
EAS,1955,0.199457244
EAS,1956,0.226214435
EAS,1957,0.267153553
EAS,1958,0.537164446
EAS,1959,0.735457728
EAS,1960,0.8156373160000001
EAS,1961,0.589910966
EAS,1962,0.482627616
EAS,1963,0.48381572900000003
EAS,1964,0.489225067
EAS,1965,0.532155675
EAS,1966,0.586706253
EAS,1967,0.503706638
EAS,1968,0.541550455
EAS,1969,0.66075339
EAS,1970,0.873113204
EAS,1971,0.980153636
EAS,1972,1.041674975
EAS,1973,1.0942492680000002
EAS,1974,1.118325871
EAS,1975,1.28024011
EAS,1976,1.336659053
EAS,1977,1.4657632
EAS,1978,1.627789079
EAS,1979,1.681064406
EAS,1980,1.653003308
EAS,1981,1.6418438519999998
EAS,1982,1.774185636
EAS,1983,1.8719130959999999
EAS,1984,2.034782529
EAS,1985,2.19945273
EAS,1986,2.316507355
EAS,1987,2.48263604
EAS,1988,2.6785883079999997
EAS,1989,2.7287945280000003
EAS,1990,2.7733376530000005
EAS,1991,2.9232991450000005
EAS,1992,3.075635054
EAS,1993,3.296975584
EAS,1994,3.499649001
EAS,1995,3.7856379090000005
EAS,1996,3.9680651399999998
EAS,1997,4.000161516
EAS,1998,3.7907290750000002
EAS,1999,4.019346911
EAS,2000,4.138526733
EAS,2001,4.231435211
EAS,2002,4.628306113000001
EAS,2003,5.378996322
EAS,2004,5.760525552
EAS,2005,6.43490515
EAS,2006,7.050631706
EAS,2007,7.562178714000001
EAS,2008,8.089989118
EAS,2009,8.485405534
EAS,2010,9.27003588
EAS,2011,10.221662865
EAS,2012,10.486171483000001
EAS,2013,10.679731138
EAS,2014,10.704451769999999
EAS,2015,10.568580558999999
EAS,2016,10.473719248
EAS,2017,10.744182729
EAS,2018,11.113261559
EAS,2019,11.457511718000001
EAS,2020,11.583253552
EAS,2021,12.024409817999999
EAS,2022,12.067291793999999
EUR,1750,0.009305937
EUR,1751,0.009407229
EUR,1752,0.009505168
EUR,1753,0.009610490000000001
EUR,1754,0.00973358
EUR,1755,0.009793468000000001
EUR,1756,0.009909914
EUR,1757,0.010093936
EUR,1758,0.010216358
EUR,1759,0.010338854
EUR,1760,0.010514331
EUR,1761,0.010747885
EUR,1762,0.010952198
EUR,1763,0.011191592
EUR,1764,0.011396982
EUR,1765,0.011643486
EUR,1766,0.01187608
EUR,1767,0.012152509
EUR,1768,0.012466936000000001
EUR,1769,0.012780074
EUR,1770,0.013097216
EUR,1771,0.013369488
EUR,1772,0.013623507
EUR,1773,0.013808138
EUR,1774,0.014012415
EUR,1775,0.01433892
EUR,1776,0.014654124
EUR,1777,0.014959537
EUR,1778,0.015243483
EUR,1779,0.015535235
EUR,1780,0.015878726
EUR,1781,0.016234383
EUR,1782,0.016580954
EUR,1783,0.017062750999999998
EUR,1784,0.017471093
EUR,1785,0.017961463
EUR,1786,0.018443833000000003
EUR,1787,0.018855466
EUR,1788,0.019282565
EUR,1789,0.019859761
EUR,1790,0.02039443
EUR,1791,0.020928085
EUR,1792,0.021925551
EUR,1793,0.022293597
EUR,1794,0.022515992
EUR,1795,0.022311582
EUR,1796,0.022117710999999998
EUR,1797,0.022086414000000002
EUR,1798,0.023102265
EUR,1799,0.027481543
EUR,1800,0.032541872
EUR,1801,0.031714914000000004
EUR,1802,0.040017353
EUR,1803,0.029238058
EUR,1804,0.031432088999999996
EUR,1805,0.030907165
EUR,1806,0.032366873000000004
EUR,1807,0.03581896799999999
EUR,1808,0.03510129
EUR,1809,0.035925851
EUR,1810,0.039069693
EUR,1811,0.03972380600000001
EUR,1812,0.040325008999999995
EUR,1813,0.040679355
EUR,1814,0.04165894
EUR,1815,0.042979952
EUR,1816,0.044827447000000006
EUR,1817,0.048552068999999996
EUR,1818,0.050606026
EUR,1819,0.05016085
EUR,1820,0.049931827
EUR,1821,0.051224474000000006
EUR,1822,0.053149411
EUR,1823,0.05544803500000001
EUR,1824,0.056560325
EUR,1825,0.059588493000000006
EUR,1826,0.06005673
EUR,1827,0.064281723
EUR,1828,0.065080501
EUR,1829,0.064502353
EUR,1830,0.086872782
EUR,1831,0.08096008100000002
EUR,1832,0.079039789
EUR,1833,0.079688307
EUR,1834,0.085364217
EUR,1835,0.09306024
EUR,1836,0.10214071000000001
EUR,1837,0.10086497999999999
EUR,1838,0.100783831
EUR,1839,0.104097899
EUR,1840,0.112883851
EUR,1841,0.115892919
EUR,1842,0.122404714
EUR,1843,0.124561018
EUR,1844,0.132595679
EUR,1845,0.143794057
EUR,1846,0.144858756
EUR,1847,0.155573808
EUR,1848,0.15668329
EUR,1849,0.166586958
EUR,1850,0.176679358
EUR,1851,0.173859032
EUR,1852,0.18043272100000002
EUR,1853,0.186703478
EUR,1854,0.22156586600000003
EUR,1855,0.221247408
EUR,1856,0.236781495
EUR,1857,0.23832962
EUR,1858,0.24111354699999998
EUR,1859,0.25423244
EUR,1860,0.281241361
EUR,1861,0.29975319
EUR,1862,0.304385866
EUR,1863,0.32054509800000003
EUR,1864,0.345858691
EUR,1865,0.370629904
EUR,1866,0.381478747
EUR,1867,0.39938474500000004
EUR,1868,0.404151867
EUR,1869,0.42261819800000006
EUR,1870,0.428305639
EUR,1871,0.455536585
EUR,1872,0.492257301
EUR,1873,0.51849359800000006
EUR,1874,0.47965141400000005
EUR,1875,0.5290598270000001
EUR,1876,0.540039275
EUR,1877,0.538867996
EUR,1878,0.5422544220000001
EUR,1879,0.559619032
EUR,1880,0.62904198
EUR,1881,0.645487947
EUR,1882,0.667218494
EUR,1883,0.703979067
EUR,1884,0.699142606
EUR,1885,0.700321937
