Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2045,2050,2053,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10EUROPE,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,5490.811546569313,5282.864920745684,5132.258178842219,5938.379966072611,5607.208162545021,5655.432831734011,5703.657500923003,5779.351615253348,5955.971215357487,6166.663800788087,6771.002804413431,7130.067325250812,7540.80572127266
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10EUROPE,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,5537.967803555878,5327.56259202165,5177.144910244444,5977.913330590616,5645.164963814227,5687.652626881737,5730.140289949245,5808.834929961594,5992.45575665707,6211.4948335894915,6816.700757600366,7173.859271942438,7582.972631812374
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10EUROPE,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,5692.670347262833,5490.104424013279,5335.948453647431,6128.438956230599,5837.783122320145,5867.306503632208,5896.82988494427,5995.564109129694,6225.943965562348,6530.442584525419,7183.498007969308,7585.787953562594,8034.492307393683
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|CO2,Mt CO2/yr,2659.5852475320276,3090.046716889308,3179.304975515168,3877.4518854080166,5225.874374236468,6011.824307114455,6797.774239992443,7398.749694880238,8801.025756285093,10787.695024997858,13453.896168773605,16115.604046594934,17778.466139518612
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|CO2|AFOLU,Mt CO2/yr,52.13777229519005,54.64815619782969,53.1189619118782,36.10642948348472,8.147721279946,1.8544727269039694,-4.438775826138061,-14.479695245270918,-37.908507223247575,-64.64969656415832,-84.68769351490047,-85.62286478076166,-83.22411617756119
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2607.4474752368374,3035.398560691478,3126.1860136032897,3841.345455924532,5217.726652956521,6009.969834387552,6802.213015818581,7413.22939012551,8838.934263508341,10852.344721562016,13538.583862288506,16201.226911375696,17861.690255696172
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,4147.514776005244,4655.9742048559365,4747.198214800319,5652.958466256891,7173.390702441116,8009.516849034116,8845.642995627113,9470.147839713682,10927.325809249009,13108.531387380783,15668.8527140788,18271.87280514573,19917.964818700202
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,4245.582852925551,4757.056187677151,4848.1402528132885,5763.560964868434,7288.933774727072,8123.368243678949,8957.802712630824,9580.264921309848,11032.676741560901,13216.935164029968,15746.069186183984,18318.52673493266,19938.141770770915
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10INDIA+,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,4306.284475195623,4834.193723932435,4929.662685348476,5810.116323958925,7337.546718343392,8178.624454696649,9019.702191049906,9658.561495195467,11149.23320486844,13490.063635349945,16195.959104628868,18963.977136619942,20727.100168193865
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|CO2,Mt CO2/yr,4171.617676547614,3893.9977756110247,3878.5722501704436,4661.80712251459,4652.56730968914,4594.4573856428715,4536.347461596603,4600.861516366246,4751.394310828745,4232.243844208963,2833.4940324805657,3517.8862691049903,5029.566364144148
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|CO2|AFOLU,Mt CO2/yr,2250.84971110026,2082.612910970052,2045.9166106161792,2101.840306933118,1626.1151363548006,1266.7717007000967,907.428265045393,831.5150349234442,654.3841646388967,-1000.7534862768506,-1442.115710056587,-1802.2036372666012,-1928.399619697191
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1920.7679654473545,1811.3848646409726,1832.6556395542643,2559.9668155814725,3026.452173334339,3327.6856849427745,3628.91919655121,3769.346481442802,4097.0101461898485,5232.997330485814,4275.609742537153,5320.0899063715915,6957.965983841339
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,5882.147179675574,5641.805290654854,5639.205844304041,6350.401117586181,6277.705636707646,6134.877917987,5992.050199266354,6043.968751155401,6165.112038896508,5195.132056000244,3660.3133526610195,4202.0495044846675,5653.793194381086
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,5980.879171814982,5741.125873172998,5739.450260044624,6446.922044176274,6367.8545002830215,6217.22975409385,6066.605007904679,6117.4455438334535,6236.073461000591,5231.207173111619,3686.428057854766,4214.544562053022,5662.532654574615
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10LATIN_AM,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,6046.034420471093,5825.36359749812,5828.674006157287,6528.941479471842,6477.353724271781,6320.73383109997,6164.113937928159,6231.074945128124,6387.317295261377,5291.782724896844,3745.0475148474407,4274.894258684788,5724.410979070135
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|CO2,Mt CO2/yr,2173.3420849209638,2283.3361597736657,2339.532328637137,3843.1790162171546,5293.728822992097,6210.944619612335,7128.160416232573,7575.8043571232465,8620.306885868147,9566.110657604024,10516.676898323969,11045.490764216818,11123.754180482349
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|CO2|AFOLU,Mt CO2/yr,14.603876709938053,10.243761626879373,9.656946735689717,1.4765932826819674,1.6641708804014623,0.36100084473241756,-0.9421691909366272,-2.488509227701312,-6.096635980152242,-6.423209030286817,-5.090198536162756,-4.912380043841562,3.7861298061574935
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2158.7382082110257,2273.0923981467863,2329.8753819014473,3841.7024229344725,5292.064652111695,6210.583618767602,7129.1025854235095,7578.292866350947,8626.403521848299,9572.53386663431,10521.767096860132,11050.40314426066,11119.96805067619
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,2856.613899912267,3073.14137835595,3140.3760774362318,4708.282651965679,6120.761656456341,6998.418649693485,7876.075642930629,8310.913742323954,9325.535974241706,10232.69399149817,11126.842541783497,11616.102236254863,11662.015464884746
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,2924.437568970124,3152.698746354891,3220.770391148566,4791.2241017345805,6192.894101422189,7061.6416795339355,7930.389257645681,8363.11545380035,9372.809911494578,10275.045421793995,11164.249411612269,11647.784894937537,11688.915979420502
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10MIDDLE_EAST,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,3009.1718703859715,3271.329026282106,3346.8794007609304,4892.282040962028,6331.884229981364,7205.750440569045,8079.616651156727,8535.941797739684,9600.700473099916,10633.054869354719,11662.31862761537,12219.661864148002,12319.492982466412
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10NORTH_AM,Emissions|CO2,Mt CO2/yr,6167.502473789978,6031.648128811495,6028.672231678377,6860.789125043094,6593.642818159074,6556.0823382597155,6518.521858360357,6502.72924778893,6465.87982312226,5968.223125917975,6203.208543362329,6839.125959953127,7639.776216239996
