birth_year,r10,case,aggregate,add_impren_0.5,add_impren_0.33,add_impren_0.66,emf_impren_0.5,emf_impren_0.33,emf_impren_0.66,lifetime_exposure_impren_0.5,lifetime_exposure_impren_0.33,lifetime_exposure_impren_0.66,cohort_size
1960,R10AFRICA,A,Max,0.07572474963641196,-0.054023018440302856,0.2208831468364769,1.0128685066713794,0.9874225397591828,1.0428815804458778,5.543458404865184,4.851842079701822,6.110790849924506,9772200
1960,R10AFRICA,A,Median,0.0564456657172423,-0.04798171082247884,0.205162515910943,1.0101107716280842,0.9893626028506867,1.0428673464652085,5.537667047080676,4.83143507197733,6.062458347507205,9772200
1960,R10AFRICA,A,Min,0.10705818418877433,-0.030338996718604214,0.21777153137254707,1.0160307571579716,0.9940493713533448,1.0396597319788476,5.437589594705787,4.589275293829354,6.06517865803084,9772200
1960,R10AFRICA,E,Max,0.16232350560917275,-0.01163669840871508,0.24161320641769646,1.0294229632541043,0.9984587602520846,1.0558458383245537,5.312463431972974,4.48221110604101,6.032712051601027,9772200
1960,R10AFRICA,E,Median,0.11426389199691922,0.0018594022716582044,0.25147277031660287,1.0250045515147994,1.0001423857451233,1.0531082801931901,5.312463431972974,4.473239595965806,5.9389195553745555,9772200
1960,R10AFRICA,E,Min,0.13302243784325585,-0.0015576672321317986,0.23435394890414507,1.0240389472020166,0.9996954718946832,1.0536353432930736,5.361881246108044,4.481639342787579,6.03216477138211,9772200
1960,R10CHINA+,A,Max,-0.021016315629401316,-0.12047524310304611,0.061240862561566335,0.9761016432449435,0.902010431891984,1.0498510424930052,1.1327889071002626,0.9396413159324097,1.3932136631084158,21364600
1960,R10CHINA+,A,Median,-6.862008345576154e-4,-0.09637176691748255,0.06953193931042265,0.9994186606879386,0.9569147341759792,1.0775951374475403,1.148546486990569,0.9726974833079537,1.3930921516675268,21364600
1960,R10CHINA+,A,Min,9.003070085815135e-4,-0.06435867765930918,0.06809024188919532,1.0018836054399174,0.9550510940682192,1.068889333301125,1.1524814581414877,0.986134866070403,1.3234781342974025,21364600
1960,R10CHINA+,E,Max,-0.018032373994145867,-0.06471959716013266,0.04970577228065139,0.9863735556732761,0.9534824637160463,1.0470078716734472,1.177809891202155,1.022748476008693,1.397097719531446,21364600
1960,R10CHINA+,E,Median,-0.018549476933399922,-0.06289266663600736,0.04732407525151286,0.9826297941176185,0.9514062605655711,1.0498159571998094,1.1732004762739732,1.011521169744579,1.395238941982973,21364600
1960,R10CHINA+,E,Min,-0.0192586419356916,-0.06335617336400046,0.05055007819416313,0.9814403137021491,0.9477366213883327,1.0570524157211039,1.1752405781759716,1.0227235988102867,1.396575739031076,21364600
1960,R10EUROPE,A,Max,0.38587267766141986,-0.19019490074842882,0.5664300176180874,1.1118169769972615,0.9531698831251171,1.1827768540829011,3.7279126533043474,3.120606522998287,4.1408904880534365,8434000
1960,R10EUROPE,A,Median,0.30455121227749027,-0.1354517269570959,0.507086577996871,1.0827373786709664,0.9735038942643023,1.1695817481875754,3.7254244161831918,3.116531630246472,4.1307152114157,8434000
1960,R10EUROPE,A,Min,0.34779301984586253,0.03578898148562958,0.5792485893164482,1.099675943313996,1.0090524633612612,1.1747445389210602,3.419226953089507,2.888017479178482,4.023876758340895,8434000
1960,R10EUROPE,E,Max,0.40784954894815084,-0.007216295122591138,0.6344237137432236,1.1214511559874927,0.9970672427760836,1.166758120547964,3.771212536617149,3.233369399598452,4.162241685560834,8434000
1960,R10EUROPE,E,Median,0.3304666654294577,-0.005609961464676441,0.6190924566511786,1.0856305337499261,0.9989935573297248,1.1856779661857504,3.771212536617149,3.1885214021951978,4.180270769313779,8434000
1960,R10EUROPE,E,Min,0.2779242491770706,-0.052181051832845604,0.5440718380686689,1.0668111363689523,0.9918542179998096,1.1598585220074777,3.8120241828087944,3.233345222465158,4.211736085135717,8434000
1960,R10INDIA+,A,Max,0.00461433725216609,-0.11579359778456713,0.16309088890311133,1.0023691460668167,0.9519975475279729,1.0523962781035237,2.9455933621638373,2.4129173070600727,3.4536713029655797,18358140
1960,R10INDIA+,A,Median,-0.05635194958922263,-0.129664916869182,0.14962814207810277,0.9844900041191088,0.9493341047548735,1.0466008863745127,2.954675588388555,2.410054865702308,3.353101459643358,18358140
1960,R10INDIA+,A,Min,-0.02250309512918336,-0.12185603954817886,0.15759331218904293,0.9922789973491076,0.9642398945103723,1.048925468584698,2.867219277702115,2.3449413590995234,3.375268678378216,18358140
1960,R10INDIA+,E,Max,0.002831632010367402,-0.11386995045488105,0.19394846283525913,1.0007966010955591,0.9639042796585235,1.0629095717695691,2.9455933621638373,2.4637946031595983,3.4158707527428547,18358140
1960,R10INDIA+,E,Median,0.04886308225757374,-0.12299857643652476,0.18302461691886332,1.0174960601961458,0.9652357645682748,1.0573313735250707,2.9455933621638373,2.441614461534771,3.4380011353134052,18358140
1960,R10INDIA+,E,Min,0.011475934546543609,-0.1229662954733115,0.17809116750120557,1.0050111269247064,0.9638416149920427,1.0594889938072127,2.954675588388555,2.463738082901441,3.424063046361669,18358140
1960,R10LATIN_AM,A,Max,0.2647463490521518,0.020288964500909112,0.4170867950258656,1.0351260955972847,1.002827712071763,1.0697753600310718,6.547365172721346,5.731712892306374,7.030793725987245,6858280
1960,R10LATIN_AM,A,Median,0.26920823202825783,0.05127495695572339,0.4009260789032746,1.0437772877622926,1.0076777089093614,1.065368843937597,6.569275557780693,5.731485955549991,7.027899148791029,6858280
1960,R10LATIN_AM,A,Min,0.22377214574107995,-0.019815124316553974,0.3562028585038675,1.0326181036722992,0.9963007733589898,1.0642146968699808,6.592614041304893,5.719317198741719,7.040442316641297,6858280
1960,R10LATIN_AM,E,Max,0.2601339979518551,0.013098956989457886,0.3946163626731792,1.0404189376355184,1.0035404663293115,1.0631656673796175,6.627254040138933,5.749899347247769,7.091227050362671,6858280
