model,case,aggregate,r10,year,gtco2
REMIND-MAgPIE,A,Max,AFR,2076,6.6915958407990495
REMIND-MAgPIE,A,Max,AFR,2077,6.8487740954271
REMIND-MAgPIE,A,Max,AFR,2078,7.005952350055151
REMIND-MAgPIE,A,Max,AFR,2079,7.163130604683201
REMIND-MAgPIE,A,Max,AFR,2080,7.320308859311251
REMIND-MAgPIE,A,Max,AFR,2081,7.4723582309870284
REMIND-MAgPIE,A,Max,AFR,2082,7.624407602662806
REMIND-MAgPIE,A,Max,AFR,2083,7.776456974338583
REMIND-MAgPIE,A,Max,AFR,2084,7.928506346014361
REMIND-MAgPIE,A,Max,AFR,2085,8.080555717690137
REMIND-MAgPIE,A,Max,AFR,2086,8.232605089365915
REMIND-MAgPIE,A,Max,AFR,2087,8.384654461041691
REMIND-MAgPIE,A,Max,AFR,2088,8.53670383271747
REMIND-MAgPIE,A,Max,AFR,2089,8.688753204393247
REMIND-MAgPIE,A,Max,AFR,2090,8.840802576069024
REMIND-MAgPIE,A,Max,AFR,2091,8.996734708241007
REMIND-MAgPIE,A,Max,AFR,2092,9.15266684041299
REMIND-MAgPIE,A,Max,AFR,2093,9.308598972584974
REMIND-MAgPIE,A,Max,AFR,2094,9.464531104756958
REMIND-MAgPIE,A,Max,AFR,2095,9.620463236928941
REMIND-MAgPIE,A,Max,AFR,2096,9.776395369100927
REMIND-MAgPIE,A,Max,AFR,2097,9.93232750127291
REMIND-MAgPIE,A,Max,AFR,2098,10.088259633444894
REMIND-MAgPIE,A,Max,AFR,2099,10.244191765616877
REMIND-MAgPIE,A,Max,AFR,2100,10.40012389778886
REMIND-MAgPIE,A,Median,AFR,1990,0.6582814289999999
REMIND-MAgPIE,A,Median,AFR,1991,0.6878291450000001
REMIND-MAgPIE,A,Median,AFR,1992,0.666901477
REMIND-MAgPIE,A,Median,AFR,1993,0.706661511
REMIND-MAgPIE,A,Median,AFR,1994,0.7902813809999999
REMIND-MAgPIE,A,Median,AFR,1995,0.8445566109999999
REMIND-MAgPIE,A,Median,AFR,1996,0.8723208510000002
REMIND-MAgPIE,A,Median,AFR,1997,0.8939891620000001
REMIND-MAgPIE,A,Median,AFR,1998,0.9124421260000001
REMIND-MAgPIE,A,Median,AFR,1999,0.8996774830000002
REMIND-MAgPIE,A,Median,AFR,2000,0.9300425989999999
REMIND-MAgPIE,A,Median,AFR,2001,0.9195428849999997
REMIND-MAgPIE,A,Median,AFR,2002,0.8992741929999999
REMIND-MAgPIE,A,Median,AFR,2003,0.988565452
REMIND-MAgPIE,A,Median,AFR,2004,1.044866707
REMIND-MAgPIE,A,Median,AFR,2005,1.0631800310000001
REMIND-MAgPIE,A,Median,AFR,2006,1.0921658310000002
REMIND-MAgPIE,A,Median,AFR,2007,1.122721434
REMIND-MAgPIE,A,Median,AFR,2008,1.1756196259999998
REMIND-MAgPIE,A,Median,AFR,2009,1.1731634350000004
REMIND-MAgPIE,A,Median,AFR,2010,1.2153736899999998
REMIND-MAgPIE,A,Median,AFR,2011,1.255083884
REMIND-MAgPIE,A,Median,AFR,2012,1.2558515
REMIND-MAgPIE,A,Median,AFR,2013,1.2654697150000003
REMIND-MAgPIE,A,Median,AFR,2014,1.3449154920000002
REMIND-MAgPIE,A,Median,AFR,2015,1.3197872819999998
REMIND-MAgPIE,A,Median,AFR,2016,1.3554934610000002
REMIND-MAgPIE,A,Median,AFR,2017,1.3697096959999997
REMIND-MAgPIE,A,Median,AFR,2018,1.35707505
REMIND-MAgPIE,A,Median,AFR,2019,1.457568135
REMIND-MAgPIE,A,Median,AFR,2020,1.3564357210000002
REMIND-MAgPIE,A,Median,AFR,2021,1.435214084
REMIND-MAgPIE,A,Median,AFR,2022,1.416626588
REMIND-MAgPIE,A,Median,AFR,2023,1.4991470007053598
REMIND-MAgPIE,A,Median,AFR,2024,1.5816674134107196
REMIND-MAgPIE,A,Median,AFR,2025,1.6641878261160794
REMIND-MAgPIE,A,Median,AFR,2026,1.7467082388214394
REMIND-MAgPIE,A,Median,AFR,2027,1.8292286515267993
REMIND-MAgPIE,A,Median,AFR,2028,1.911749064232159
REMIND-MAgPIE,A,Median,AFR,2029,1.994269476937519
REMIND-MAgPIE,A,Median,AFR,2030,2.0767898896428787
REMIND-MAgPIE,A,Median,AFR,2031,2.125244744286458
REMIND-MAgPIE,A,Median,AFR,2032,2.173699598930038
REMIND-MAgPIE,A,Median,AFR,2033,2.2221544535736175
REMIND-MAgPIE,A,Median,AFR,2034,2.2706093082171974
REMIND-MAgPIE,A,Median,AFR,2035,2.319064162860777
REMIND-MAgPIE,A,Median,AFR,2036,2.3675190175043563
REMIND-MAgPIE,A,Median,AFR,2037,2.4159738721479362
REMIND-MAgPIE,A,Median,AFR,2038,2.4644287267915157
REMIND-MAgPIE,A,Median,AFR,2039,2.5128835814350956
REMIND-MAgPIE,A,Median,AFR,2040,2.561338436078675
REMIND-MAgPIE,A,Median,AFR,2041,2.590950437631328
REMIND-MAgPIE,A,Median,AFR,2042,2.620562439183981
REMIND-MAgPIE,A,Median,AFR,2043,2.6501744407366337
REMIND-MAgPIE,A,Median,AFR,2044,2.6797864422892865
REMIND-MAgPIE,A,Median,AFR,2045,2.7093984438419394
REMIND-MAgPIE,A,Median,AFR,2046,2.7390104453945923
REMIND-MAgPIE,A,Median,AFR,2047,2.768622446947245
REMIND-MAgPIE,A,Median,AFR,2048,2.7982344484998976
REMIND-MAgPIE,A,Median,AFR,2049,2.8278464500525504
REMIND-MAgPIE,A,Median,AFR,2050,2.8574584516052033
REMIND-MAgPIE,A,Median,AFR,2051,3.123794860326032
REMIND-MAgPIE,A,Median,AFR,2052,3.39013126904686
REMIND-MAgPIE,A,Median,AFR,2053,3.6564676777676888
REMIND-MAgPIE,A,Median,AFR,2054,3.922804086488517
REMIND-MAgPIE,A,Median,AFR,2055,4.189140495209346
REMIND-MAgPIE,A,Median,AFR,2056,4.455476903930173
REMIND-MAgPIE,A,Median,AFR,2057,4.721813312651001
REMIND-MAgPIE,A,Median,AFR,2058,4.98814972137183
REMIND-MAgPIE,A,Median,AFR,2059,5.254486130092658
REMIND-MAgPIE,A,Median,AFR,2060,5.520822538813486
