country.name,iso3c,r10,gtco2_18501989
Colombia,COL,LAM,1.2461047190000003
Costa Rica,CRI,LAM,0.056763325999999996
Cuba,CUB,LAM,0.8215147680000002
Curaçao,CUW,LAM,0.4362470560000002
Dominica,DMA,LAM,9.306560000000002e-4
Dominican Republic,DOM,LAM,0.157093992
Ecuador,ECU,LAM,0.301401542
Grenada,GRD,LAM,0.0015572000000000003
Guatemala,GTM,LAM,0.097041747
Guyana,GUY,LAM,0.045074527999999996
Honduras,HND,LAM,0.04989597299999998
Haiti,HTI,LAM,0.019190057999999996
Jamaica,JAM,LAM,0.173801967
St. Kitts and Nevis,KNA,LAM,0.0011431680000000002
St. Lucia,LCA,LAM,0.002498848
Mexico,MEX,LAM,7.0080840150000014
Montserrat,MSR,LAM,4.5799999999999997e-4
Nicaragua,NIC,LAM,0.052554321
Panama,PAN,LAM,0.082632857
Peru,PER,LAM,0.801449555
Paraguay,PRY,LAM,0.03250693599999999
El Salvador,SLV,LAM,0.055201923
Saint Pierre and Miquelon,SPM,LAM,0.0016378080000000006
Suriname,SUR,LAM,0.049160897999999995
Sint Maarten (Dutch part),SXM,LAM,0.048302409000000004
Turks and Caicos Islands,TCA,LAM,0
Trinidad and Tobago,TTO,LAM,0.551724061
Uruguay,URY,LAM,0.186834274
St. Vincent and the Grenadines,VCT,LAM,0.001157824
Venezuela (Bolivarian Republic of),VEN,LAM,3.107706356
British Virgin Islands,VGB,LAM,8.097439999999998e-4
United Arab Emirates,ARE,MEA,0.773395789
Bahrain,BHR,MEA,0.22579333699999998
"Iran, Islamic Rep.",IRN,MEA,4.3479894230000005
Iraq,IRQ,MEA,1.1564308330000002
Israel,ISR,MEA,0.5927354860000003
Jordan,JOR,MEA,0.119613027
Kuwait,KWT,MEA,0.7446553069999999
Lebanon,LBN,MEA,0.17787933400000003
Oman,OMN,MEA,0.130747191
State of Palestine,PSE,MEA,0
Qatar,QAT,MEA,0.281790806
Saudi Arabia,SAU,MEA,2.981311787
Syrian Arab Republic,SYR,MEA,0.4743712379999999
"Yemen, Rep.",YEM,MEA,0.157134948
Canada,CAN,NAM,16.707796783
United States,USA,NAM,243.923294055
Australia,AUS,PAO,7.190636693
Christmas Island,CXR,PAO,0.001330032
Japan,JPN,PAO,27.655774752000006
New Zealand,NZL,PAO,0.8525155000000001
Brunei Darussalam,BRN,PAS,0.155951835
Cook Islands,COK,PAS,5.09296e-4
Fiji,FJI,PAS,0.017923713
"Micronesia, Fed. Sts.",FSM,PAS,0
Indonesia,IDN,PAS,2.7489286639999992
Cambodia,KHM,PAS,0.011418824999999997
Kiribati,KIR,PAS,6.595199999999997e-4
Lao People's Democratic Republic,LAO,PAS,0.007536848000000001
Marshall Islands,MHL,PAS,0
Myanmar,MMR,PAS,0.19472943199999995
Malaysia,MYS,PAS,0.76948123
New Caledonia,NCL,PAS,0.054376475
Niue,NIU,PAS,7.327999999999998e-5
Nauru,NRU,PAS,0.0025977759999999996
Philippines,PHL,PAS,0.86161255
Palau,PLW,PAS,0
Papua New Guinea,PNG,PAS,0.038724815999999995
French Polynesia,PYF,PAS,0.008331936
Singapore,SGP,PAS,0.631179498
Solomon Islands,SLB,PAS,0.0023742719999999998
Thailand,THA,PAS,0.852391861
Timor-Leste,TLS,PAS,0
Tonga,TON,PAS,9.892800000000002e-4
Tuvalu,TUV,PAS,0
Vietnam,VNM,PAS,0.7180656169999999
Vanuatu,VUT,PAS,0.0016304799999999995
Wallis and Futuna Islands,WLF,PAS,0
Samoa,WSM,PAS,0.0016341440000000001
Afghanistan,AFG,SAS,0.056579165999999986
Bangladesh,BGD,SAS,0.19581207300000003
Bhutan,BTN,SAS,0.001080838
India,IND,SAS,10.427429139000001
Sri Lanka,LKA,SAS,0.117993819
Maldives,MDV,SAS,7.950880000000001e-4
Nepal,NPL,SAS,0.012249378
Pakistan,PAK,SAS,0.9219247570000002
