r10,iso3c,iso3c_grp,end_target,cat_end_target,end_target_year,cat_end_target_year,end_target_year_comb,end_target_comb,end_target_status_comb,end_target_status,cat_end_target_status,end_target_text,terr_GtCO2,pp1990,gdpcurrmer,year,mtco2e
R10AFRICA,MDG,MDG,,,,,,,None,None,,,0.00425945792079914,4.36335921274717,14104664677.9627,2020,56.04644989200001
R10AFRICA,MLI,MLI,,,,,,,None,None,,,0.00583684024525015,3.3087184220438,17280250805.2245,2020,49.78971500133334
R10AFRICA,MOZ,MOZ,,,,,,,None,None,,,0.00710626761240293,4.448162357888083,15390031039.9957,2020,78.52744532999999
R10AFRICA,MRT,MRT,,,,,,,None,None,,,0.00377666666666666,0.6241187689970894,8066118984.30581,2020,16.809699775666658
R10AFRICA,MUS,MUS,,,,,,,None,None,,,0.00452466666666666,0.12305206196134363,14436347115.2893,2020,4.7115259211266665
R10AFRICA,MWI,MWI,,,,,,,None,None,,,0.00163769841163882,3.4176843664286483,11025371147.1876,2020,26.487496760999996
R10AFRICA,NER,NER,,,,,,,None,None,,,0.00251519409670257,3.9599281156002695,12916454870.5458,2020,56.507958741666705
R10AFRICA,RWA,RWA,,,,,,,None,None,,,0.00137373353248534,2.188932294311126,10346675636.3397,2020,10.1044347237
R10AFRICA,SDN,SDN,,,,,,,None,None,,,0.02178835477295513,7.548575840532767,32338079165.2893,2020,149.48070130933328
R10AFRICA,SEN,SEN,,,,,,,None,None,,,0.01272227341250998,2.3478369338406546,23403995984.9306,2020,30.079230855666673
R10AFRICA,SLE,SLE,,,,,,,None,None,,,0.00100466666666666,1.1948774535472837,4076578653.54714,2020,16.394692423466672
R10AFRICA,SWZ,SWZ,,,,,,,None,None,,,0.001122,0.16890868010912924,4466214522.19539,2020,1.5407791016666668
R10AFRICA,TCD,TCD,,,,,,,None,None,,,0.00230480935599207,2.3974061926647705,11314951088.2451,2020,117.32347458833331
R10AFRICA,TGO,TGO,,,,,,,None,None,,,0.00241675484536699,1.1352878286950294,6992656428.93581,2020,11.353959189700001
R10AFRICA,TZA,TZA,,,,,,,None,None,,,0.01375330001573132,9.519061473051885,61026765850.3054,2020,227.43747517999998
R10AFRICA,UGA,UGA,,,,,,,None,None,,,0.00573609710209272,7.680013934380517,35348155092.292,2020,66.28388159
R10AFRICA,ZMB,ZMB,,,,,,,None,None,,,0.00775646794215289,2.7703789477617935,23308667781.2258,2020,89.44085217766671
R10AFRICA,ZWE,ZWE,,,,,,,None,None,,,0.00978254247161554,1.698777683274982,21832234925.5021,2020,33.22017742
R10CHINA+,CHN,CHN,Carbon neutral(ity),UNCLEAR,2060,2060,2060,GHG,In policy document,In policy document,N,"China will 'achieve carbon neutrality before 2060.' 
[p.8, Updated NDC, 2022, retrieved from https://unfccc.int/sites/default/files/NDC/2022-11/Progress%20of%20China%20NDC%202022.pdf]",10.728844747825963,35.391952567907936,14279968485748,2020,13283.73005606
R10CHINA+,KHM,KHM,Carbon neutral(ity),CO2,2050,2050,2050,GHG,In policy document,In policy document,N,"""This LTS4CN essentially aims to serve as a roadmap or vision document based on a comprehensive analysis and modelling of all relevant economic sectors, and it looks several decades ahead. It outlines priority mitigation actions for each sector to achieve the country’s goal of a carbon neutral economy in 2050."" (p3)",0.01823283662577112,2.2662505135187474,27089390032.8915,2020,80.0771343723333
R10CHINA+,LAO,LAO,Net zero,,2050,,2050,GHG,In policy document,In policy document,,"As per Paris Agreement Article 4, the 2020 NDC update builds upon the 2015 submission with a view to enhancing its ambition through the introduction of three national level greenhouse gas (GHG) emissions scenarios, namely a baseline emissions scenario, an unconditional mitigation scenario to 2030, as well as a more ambitious conditional mitigation scenario to 2030 towards achieving net zero GHG emissions by 2050.",0.01954855021225381,0.9948351688830188,18740559554.1632,2020,67.4767425423333
R10CHINA+,VNM,VNM,Net zero,UNCLEAR,2050,2050,2050,GHG,In policy document,In policy document,Y,'The implementation of NDC 2022 is in line with net zero target indicated in the National Climate Change Strategy to 2050 and the measures to implement the methane emission reduction action plan' (p.2).,0.34203753268197334,11.816092236652564,334365257920.289,2020,633.6871236576669
R10CHINA+,MMR,MMR,,,,,,,None,None,,,0.03364138992166198,7.430585089809164,68697761477.1809,2020,236.849600975667
R10CHINA+,MNG,MNG,,,,,,,None,None,,,0.04728891524917963,0.03189514030494866,14206359016.4014,2020,84.13084342533332
R10EUROPE,AUT,EU27,Climate neutral,GHG,2040,2050,2040,GHG,In law,In law,Y,"Section 4. (1) This Federal Act is intended to contribute to the goals of the Paris Climate Agreement of 2015, to the goal of the European Union to cover at least 32% of the Union’s gross final consumption of energy through renewable sources by 2030, and to the goal to make Austria climate neutral by 2040.",0.06800561625603094,-0.615317505704768,444621176100.54,2020,69.18138480133332
R10EUROPE,BEL,EU27,Carbon neutral(ity),GHG,2050,2050,2050,GHG,In policy document,In policy document,Y,"The Brussels-Capital Region has set out to reduce direct GHG emission by at least 90% by 2050 compared to 2005 levels (40% by 2030 and 67% by 2040). The Flemish Region
committed to reducing its CO2 emissions with 55% by 2030 compared to 2015. The Walloon region has set out to reduce GHG emission by at least 95% by 2050 compared to 1990 levels (55% by 2030) - source: https://www.sustainability.gov/pdfs/belgium-nzgi-roadmap.pdf",0.09954265439092076,-1.6068592171590708,535865692402.342,2020,114.70157962866668
R10EUROPE,BGR,EU27,,GHG,,2050,2050,GHG,In law,None,Y,,0.0422634481838437,-0.34869030663021827,68911930627.8977,2020,45.04928363333333
R10EUROPE,CHE,CHE,Net zero,,2050,,2050,GHG,In law,In law,,"""On 28 August 2019, the Federal Council decided that Switzerland would aim to reduce its greenhouse gas emissions to net zero by 2050 and gave the Federal Department of the Environment, Transport, Energy and Communications (DETEC) the task of drawing up a long-term climate strategy, thus ensuring that Switzerland meets a requirement of the Paris Agreement."" [Source: https://www.bafu.admin.ch/bafu/en/home/topics/climate/info-specialists/emission-reduction/reduction-targets/2050-target/climate-strategy-2050.html]",0.03675364858585493,0.04260347442242418,721369112726.724,2020,41.1878150527
R10EUROPE,CYP,EU27,Climate neutral,GHG,2050,2050,2050,GHG,In law,In law,Y,"Cyprus’ Long-term Low GHG emission development strategy, 2022 Update: Cyprus endorses the objective of achieving a climate-neutral EU by 2050: https://unfccc.int/sites/default/files/resource/2022_lts_final_cyprus.pdf
https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf

Update of the NDC of the European Union and its Member States, October 2023 https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf
- The target is an economy-wide legally binding target of a net domestic reduction
of greenhouse gas emissions by at least 55% compared to 1990 by 2030, without
contribution from international credits.
- New target to reduce emissions from the existing EU ETS sectors and maritime of 62% by 2030 compared to 2005 levels. 
- EU climate target is a net domestic reduction of at least 55% in greenhouse gas emissions by 2030 compared to 1990,  Cyprus member state will reduce its emissions from 2005 levels by 2030 in accordance with the percentage of 32%.",0.00734767933857052,-0.00823663391180878,25945194240.4544,2020,8.0510278294
R10EUROPE,DEU,EU27,Climate neutral,GHG,2045,2050,2045,GHG,In law,In law,Y,"""By 2045 Germany is to become greenhouse gas neutral. This means that there must be a balance between greenhouse gas emissions and the removal of such gases.""
(https://www.bundesregierung.de/breg-de/themen/klimaschutz/climate-change-act-2021-1936846)",0.7080062786470592,-12.671400658585243,3888226035921.49,2020,725.6420771033331
R10EUROPE,DNK,EU27,Net zero,GHG,2045,2050,2045,GHG,Declaration / pledge,Declaration / pledge,Y,"The Climate Act ensures that Denmark works to reduce its carbon emissions by 70 percent in 2030 compared to 1990 levels and towards net-zero by 2045. The Climate Act contains a mechanism for setting milestone targets. Every five years the government must set a legally binding target with a ten-year perspective. The milestone targets will be implemented in Danish law

https://en.kefm.dk/news/news-archive/2019/dec/during-the-cop-denmark-passes-climate-act-with-a-70-percent-reduction-targetws-page-eng
https://stateofgreen.com/en/news/new-danish-government-moves-forward-net-zero-climate-target-to-2045/",0.03097280862539273,-0.5985120635217293,346498737961.635,2020,44.18845097
R10EUROPE,ESP,EU27,Climate neutral,GHG,2050,2050,2050,GHG,In law,In law,Y,"PSOE already made its green ambitions clear when it adopted Spain's first Climate Change and Energy Transition Law in 2021, which included the target of reaching climate neutrality by 2050.",0.25084322154930133,-0.8856999079460337,1394320055129.38,2020,266.733516363
R10EUROPE,EST,EU27,,GHG,,2050,2050,GHG,In law,None,Y,,0.0123329523739884,-0.3427903686326128,31081901909.2151,2020,15.193994960233328
R10EUROPE,FIN,EU27,Climate neutral,GHG,2035,2050,2035,GHG,In law,In law,Y,"'1(2)(1) The objective of the Act and the climate policy planning system based on it is to contribute to
ensuring that: 1) anthropogenic greenhouse gas emissions decrease and the removals by sinks increase so that,
at the latest by 2035, Finland has reached a situation where its greenhouse gas emissions are at
most equal to the removals and that the removals continue to increase and emissions decrease
after that as well.'",0.0424848981077147,-0.7852715560566484,268514916972.544,2020,74.50447242700001
R10EUROPE,FRA,EU27,Net zero,GHG,2050,2050,2050,GHG,In law,In law,Y,"« d'atteindre la neutralité carbone à l'horizon 2050 en divisant les émissions de gaz à effet de serre par un facteur supérieur à six »
Reach carbon neutrality by 2050 by reducing GHG emissions by at least a factor of 6",0.3156793223830561,-0.6143300716747877,2728870246705.83,2020,363.9396736672223
R10EUROPE,GBR,GBR,Net zero,GHG,2050,2050,2050,GHG,In law,In law,Y,"""The target will require the UK to bring all greenhouse gas emissions to net zero by 2050, compared with the previous target of at least 80% reduction from 1990 levels.""

""The Act originally committed the UK to cut its emissions by at least 80% below the 1990 baseline level by 2050. On 27 June 2019, this target was amended, committing the UK to a legally binding target of net zero emissions by 2050, set on a whole-economy basis.""

There is a separate end target for Scotland: ""This legislation includes targets for Scotland to reach net zero greenhouse gas emissions by 2045""",0.3650187739332244,-4.813600822781693,2857057847953.02,2020,416.1375334733333
R10EUROPE,GRC,EU27,Climate neutral,GHG,2050,2050,2050,GHG,In law,In law,Y,"1. Σκοπός του παρόντος νόμου είναι η δημιουργία ενός συνεκτικού πλαισίου για τη βελτίωση της προσαρμοστικής ικανότητας και της κλιματικής ανθεκτικότητας της χώρας και τη διασφάλιση της σταδιακής μετάβασης της χώρας στην κλιματική ουδετερότητα έως το έτος 2050, με τον πλέον περιβαλλοντικά βιώσιμο, κοινωνικά δίκαιο και οικονομικά αποδοτικό τρόπο.",0.06580734023324157,-0.954361379939156,205257014892.498,2020,59.194588916666696
R10EUROPE,HRV,EU27,Climate neutral,GHG,2050,2050,2050,GHG,In law,In law,Y,"'A binding objective of climate neutrality in the European Union by 2050 at the latest, aiming to achieve negative emissions thereafter' (Update of the NDC of the European Union and its Member States, 2023, p.2)",0.01787044218828286,0.11367706797475408,61329267533.1316,2020,20.3959356052
R10EUROPE,HUN,EU27,Net zero,GHG,2050,2050,2050,GHG,In law,In law,Y,https://www.parlament.hu/irom41/07021/07021-0010.pdf,0.04934637376868284,-0.11520668515482237,164020460331.659,2020,56.85745090966666
R10EUROPE,IRL,EU27,Climate neutral,GHG,2050,2050,2050,GHG,In law,In law,Y,"
EU NDC 2023: https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf

(More recent than Climate Action and Low Carbon Development (Ammendment) Bill 2021)",0.03735291781581543,-0.39357850941064143,399321701632.424,2020,80.81522310800001
R10EUROPE,ISL,ISL,Carbon neutral(ity),,2040,,2040,GHG,In law,In law,,"a. to reduce the emission of greenhouse gases in an economical and efficient way,
    b. to increase the sequestration of carbon from the atmosphere,
    c. to promote adaptation to the consequences of climate change, ... 
    d. to create conditions for the government to fulfill Iceland's international obligations in climate matters,
    [e. to achieve carbon neutrality no later than the year 2040. Should the government's climate goals be updated, amendments to this provision shall be proposed accordingly].",0.00356133078588594,-0.03009182213015379,24663643101.958,2020,4.660588821133331
R10EUROPE,ITA,EU27,Climate neutral,GHG,2050,2050,2050,GHG,In policy document,In policy document,Y,"REGULATION (EU) 2021/1119 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL, of 30 June 2021, outlines goal for climate neutrality by 2050, maintaining the interim 55% by 2030 emissions reduction goal (https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R1119&qid=1651147232273). ...the National Long-term Strategy (hereinafter referred to as the “Strategy”) identifies the possible pathways to achieve ""climate neutrality"" in Itay by 2050, in which the remaining greenhouse gas emissions are offset by CO2 sequestration and the eventual use of CCS-CCU.

...the National Long-term Strategy (hereinafter referred to as the “Strategy”) identifies the possible pathways to achieve ""climate neutrality"" in Itay by 2050, in which the remaining greenhouse gas emissions are offset by CO2 sequestration and the eventual use of CCS-CCU.",0.34065026788714353,-3.1263729653958574,2011302198827.41,2020,348.54538815385166
R10EUROPE,LTU,EU27,Net zero,GHG,2050,2050,2050,GHG,In policy document,In policy document,Y,"""The European Climate Law, adopted in 2021 sets the legally binding EU’s climate neutrality target at the latest by 2050.""
""The Agenda sets a long-term objective of reaching net-zero emissions by 2050.""

[https://unfccc.int/sites/default/files/resource/8th%20NC%20and%205th%20BR_20230105%20final.pdf]",0.01368772980049159,0.0430668703097079,54760617012.9166,2020,25.49174377533333
R10EUROPE,LUX,EU27,Net zero,GHG,2050,2050,2050,GHG,In law,In law,Y,"""l’objectif à long terme de la neutralité climatique, qui consiste à atteindre le « zéro émissions nettes » au Luxembourg, d’ici 2050 au plus tard""

Net zero emissions by 2050 (long term carbon neutrality)",0.00977673290949685,-0.20585255305442257,69825641851.0104,2020,8.959762585100002
R10EUROPE,LVA,EU27,Carbon neutral(ity),GHG,2050,2050,2050,GHG,In policy document,In policy document,Y,Latvia set 2050 as its long-term climate neutrality goal. The CCPI country experts note that this target does not include a clear pathway or action plan to achieve its goal. They also judge Latvia’s National Energy and Climate Plan (NECP) as insufficient.https://ccpi.org/country/lva/,0.00765621494788447,0.07294155239187838,34343961072.8229,2020,15.13273921466667
R10EUROPE,MLT,EU27,Climate neutral,GHG,2050,2050,2050,GHG,In policy document,In policy document,Y,The Strategy aims to move towards climate neutrality by 2050 in line with Malta’s contribution to EU- wide goals. Carbon neutrality is also one of Malta’s five pillars for economic growth and recovery from the COVID-19 pandemic.,0.00164996426827178,-0.00230987868539202,15881258056.2009,2020,1.7753766904733332
R10EUROPE,NLD,EU27,,GHG,,2050,2050,GHG,In law,None,Y,,0.15262040379872954,-2.248215060280539,910194347568.61,2020,175.21365613400002
R10EUROPE,POL,EU27,,GHG,,2050,2050,GHG,In law,None,Y,,0.31791373695113523,-3.770925896872813,596058473058.766,2020,343.5063136713333
R10EUROPE,PRT,EU27,Carbon neutral(ity),GHG,2050,2050,2050,GHG,In law,In law,Y,,0.04752861112721589,0.06685801078224651,239986922638.897,2020,51.701440899333335
