iso3c,year,terr_GtCO2,pp2015,pp1990,pp1850,pp2015_atp_ppp_pf1,pp2015_atp_ppp_pf2,pp2015_atp_ppp_pf3,pp2015_atp_mer_pf1,pp2015_atp_mer_pf2,pp2015_atp_mer_pf3,pp1990_atp_ppp_pf1,pp1990_atp_ppp_pf2,pp1990_atp_ppp_pf3,pp1990_atp_mer_pf1,pp1990_atp_mer_pf2,pp1990_atp_mer_pf3,pp1850_atp_ppp_pf1,pp1850_atp_ppp_pf2,pp1850_atp_ppp_pf3,pp1850_atp_mer_pf1,pp1850_atp_mer_pf2,pp1850_atp_mer_pf3
AGO,1991,0.005067740039731857,2.072054143270837,4.446853634301992,7.7447906430548015,0.9987729435816477,1.5848634618857456,1.9772337695408555,1.029004900133246,1.658262413952447,1.9976805906443038,2.1680267600200893,3.426121554132044,4.251966633955513,2.2181149633277015,3.5805142129154564,4.297512004851384,3.482566353256687,4.740661147368641,5.566506227192112,3.5326545565642995,4.895053806152053,5.612051598087982
AGO,1992,0.005168207242503617,2.072054143270837,4.44178589426226,7.739722903015069,1.0162064206620482,1.5990726050881667,1.9815091991778715,0.9780444069363597,1.6121259983990663,1.9826766490801453,2.2038756840867237,3.453635845174621,4.256513816249307,2.106049377693794,3.478157713042992,4.26103195841622,3.5184152773233217,4.768175438411218,5.571053409485905,3.4205889709303916,4.792697306279589,5.575571551652818
AGO,1993,0.0057525724116741835,2.072054143270837,4.436617687019757,7.734554695772566,1.0655241783442475,1.6383322950206536,1.9926581264289611,0.9149965071373573,1.5594788925103464,1.9658079545695557,2.3108416740115527,3.5360131551574727,4.275856391906724,1.968836574189398,3.3626049166891807,4.220742348143092,3.6253812672481502,4.85055274839407,5.590395985143321,3.2833761674259954,4.677144509925777,5.535281941379688
AGO,1994,0.01136151100628225,2.072054143270837,4.430865114608083,7.728802123360892,1.1834005447117415,1.7260209140644798,2.0165621814884522,0.967845846822627,1.6020634550285942,1.9799211377952057,2.567305438221478,3.723013269685777,4.3221188695575155,2.0824133645167655,3.452679591139893,4.246589076159789,3.881845031458076,5.037552862922374,5.636658462794112,3.396952957753363,4.76721918437649,5.5611286693963855
AGO,1995,0.012625832885834704,2.072054143270837,4.4195036036018,7.7174406123546095,1.2781019637386863,1.7936403678574018,2.034474785507174,1.174465071419214,1.7626674930372985,2.0311166846854127,2.76852218622427,3.8612445215940405,4.349913411646731,2.529081699410333,3.7954165468354533,4.347266436001373,4.083061779460867,5.175784114830638,5.664453004883328,3.8436212926469304,5.109956140072051,5.6618060292379715
AGO,1996,0.015260054940528713,2.072054143270837,4.406877770715965,7.704814779468775,1.3352701468760033,1.8331968888651888,2.0446937917365093,1.349142387517223,1.888117112647238,2.069573825255232,2.8860560166786406,3.937060591420109,4.359792498385198,2.9070635453543816,4.061054959517539,4.419091706757875,4.200595609915237,5.251600184656706,5.674332091621795,4.221603138590979,5.375594552754137,5.733631299994472
AGO,1997,0.015895810046869793,2.072054143270837,4.391617715775437,7.6895547245282465,1.368314166593211,1.8554402574413955,2.0503187995064653,1.4801801842426812,1.9770916358942587,2.095831307849453,2.9475403849837964,3.9723174491672704,4.3570532250373075,3.187319034381399,4.244313543185835,4.461670667156882,4.262079978220394,5.286857042403868,5.671592818273905,4.501858627617997,5.5588531364224325,5.776210260393479
AGO,1998,0.016525312436374978,2.072054143270837,4.375721905728567,7.6736589144813765,1.3912582685489698,1.871131775655117,2.0542942917792684,1.596882310770785,2.054045883102212,2.117904175588216,2.9860861914114896,3.992598917245317,4.350094936934001,3.434967643724861,4.400148991513974,4.494336191644584,4.300625784648086,5.307138510481915,5.6646345301705985,4.749507236961458,5.714688584750572,5.808875784881182
AGO,1999,0.01727384063986295,2.072054143270837,4.359196593292192,7.657133602045001,1.4102450536813027,1.8841048784780872,2.057513231833476,1.7195515737623133,2.1316498821287833,2.1395552364303088,3.015061006557218,4.006133928357667,4.3408258408587175,3.6935065654443595,4.555791484852985,4.525202015109825,4.329600599793815,5.320673521594264,5.655365434095315,5.0080461586809575,5.870331078089582,5.839741608346421
AGO,2000,0.01600674882166448,2.072054143270837,4.341922752652329,7.6398597614051384,1.4334612080507438,1.8997612135122504,2.061365103505846,1.8432621353864838,2.20764099159501,2.160311600113097,3.0525579443917814,4.024702650582405,4.332157005032016,3.9545398012222686,4.707109403200504,4.553304182993722,4.3670975376283785,5.339242243819003,5.646696598268614,5.269079394458865,6.021648996437102,5.867843776230321
AGO,2001,0.015920039622328856,2.072054143270837,4.325916003830665,7.623853012583474,1.456819490046346,1.9160090496957927,2.0654305723044475,1.9188774189176954,2.250883109966311,2.1715647072206035,3.091972658046739,4.045995676891149,4.325248237475753,4.108355272442295,4.787078531069431,4.561860592002186,4.406512251283336,5.3605352701277456,5.63978783071235,5.422894865678893,6.10161812430603,5.876400185238784
AGO,2002,0.016091704687349318,2.072054143270837,4.309995964208336,7.607932972961145,1.4800831333996756,1.9318265938780914,2.0693092155051183,1.9841427043255346,2.2902292460273044,2.181893457904251,3.131192602599384,4.066408661637813,4.318015963573625,4.242085635212107,4.859823366745652,4.568786833157955,4.445732195835981,5.3809482548744105,5.632555556810223,5.556625228448704,6.17436295998225,5.883326426394552
