iso3c,year,terr_GtCO2,lulucf_GtCO2_mean,lulucf_GtCO2_blue,lulucf_GtCO2_hc2023,lulucf_GtCO2_oscar
ABW,1980,5.858606681852686e-4,0,0,0,0
ABW,1981,5.580307517084299e-4,0,0,0,0
ABW,1982,6.23922171602125e-4,0,0,0,0
ABW,1983,3.206579347000759e-4,0,0,0,0
ABW,1984,8.007239939255882e-4,0,0,0,0
ABW,1985,9.372133637053915e-4,0,0,0,0
ABW,1986,1.7966666666666668e-4,0,0,0,0
ABW,1987,4.473333333333334e-4,0,0,0,0
ABW,1988,6.123333333333334e-4,0,0,0,0
ABW,1989,0.00064899999999999995,0,0,0,0
ABW,1990,4.876666666666667e-4,NA,NA,NA,NA
ABW,1991,5.316666666666666e-4,NA,NA,NA,NA
ABW,1992,5.39e-4,NA,NA,NA,NA
ABW,1993,0.00064899999999999995,NA,NA,NA,NA
ABW,1994,6.6e-4,NA,NA,NA,NA
ABW,1995,7.076666666666668e-4,NA,NA,NA,NA
ABW,1996,7.26e-4,NA,NA,NA,NA
ABW,1997,7.589999999999999e-4,NA,NA,NA,NA
ABW,1998,8.066666666666667e-4,NA,NA,NA,NA
ABW,1999,8.103333333333334e-4,NA,NA,NA,NA
ABW,2000,0.0023796666666666666,NA,NA,NA,NA
ABW,2001,0.002409,NA,NA,NA,NA
ABW,2002,0.0024383333333333336,NA,NA,NA,NA
ABW,2003,0.0025629999999999997,NA,NA,NA,NA
ABW,2004,0.0026179999999999997,NA,NA,NA,NA
ABW,2005,0.0027206666666666664,NA,NA,NA,NA
ABW,2006,0.0027170000000000002,NA,NA,NA,NA
ABW,2007,0.0028233333333333335,NA,NA,NA,NA
ABW,2008,0.0026583333333333333,NA,NA,NA,NA
ABW,2009,0.002629,NA,NA,NA,NA
ABW,2010,0.0025080000000000002,NA,NA,NA,NA
ABW,2011,0.002500666666666667,NA,NA,NA,NA
ABW,2012,0.0013493333333333332,NA,NA,NA,NA
ABW,2013,8.616666666666667e-4,NA,NA,NA,NA
ABW,2014,8.726666666666666e-4,NA,NA,NA,NA
ABW,2015,8.983333333333333e-4,NA,NA,NA,NA
ABW,2016,8.836666666666666e-4,NA,NA,NA,NA
ABW,2017,8.91e-4,NA,NA,NA,NA
ABW,2018,8.726666666666666e-4,NA,NA,NA,NA
ABW,2019,8.91e-4,NA,NA,NA,NA
ABW,2020,8.91e-4,NA,NA,NA,NA
ABW,2021,8.585909499519001e-4,NA,NA,NA,NA
ABW,2022,8.665039138290664e-4,NA,NA,NA,NA
AFG,1850,0,0.0035234466666666663,0.0029817699999999995,0.0028864733333333332,0.0047020966666666665
AFG,1851,0,0.0035637800000000003,0.0030040266666666667,0.00291951,0.004767803333333334
AFG,1852,0,0.0035992366666666663,0.0030237533333333333,0.0029525466666666667,0.004821409999999999
AFG,1853,0,0.003632982222222222,0.003040546666666666,0.002985656666666667,0.004872743333333333
AFG,1854,0,0.0036654933333333333,0.003054956666666667,0.0030188400000000005,0.004922683333333333
AFG,1855,0,0.0036970755555555557,0.0030675333333333335,0.003052096666666667,0.004971596666666666
AFG,1856,0,0.0037279611111111118,0.0030789366666666667,0.0030853900000000004,0.005019556666666667
AFG,1857,0,0.003758064444444445,0.003088836666666667,0.0031187566666666666,0.0050666
AFG,1858,0,0.0037875077777777774,0.0030976,0.0031521599999999998,0.005112763333333333
AFG,1859,0,0.0038163766666666674,0.0031054466666666667,0.0031856366666666667,0.0051580466666666675
AFG,1860,0,0.0038608288888888898,0.0031426266666666667,0.003219186666666667,0.005220673333333334
AFG,1861,0,0.0038985222222222226,0.0031555699999999995,0.00325281,0.0052871866666666665
AFG,1862,0,0.003929762222222222,0.0031638566666666664,0.00328647,0.00533896
AFG,1863,0,0.003959486666666667,0.0031705666666666673,0.00332024,0.005387653333333332
AFG,1864,0,0.003988441111111111,0.0031764700000000002,0.00335401,0.005434843333333333
AFG,1865,0,0.00401687,0.0031817133333333332,0.003387926666666667,0.00548097
AFG,1866,0,0.004044883333333333,0.003186443333333333,0.00342188,0.005526326666666667
AFG,1867,0,0.004072505555555555,0.003190696666666666,0.0034558699999999993,0.00557095
AFG,1868,0,0.004099761111111111,0.003194546666666667,0.0034899700000000002,0.005614766666666667
AFG,1869,0,0.004126686666666666,0.0031979933333333333,0.0035241433333333336,0.005657923333333333
AFG,1870,0,0.004285881111111111,0.00349085,0.0035583533333333334,0.00580844
AFG,1871,0,0.004425483333333333,0.0036858066666666666,0.0035926733333333334,0.005997969999999999
AFG,1872,0,0.004515781111111111,0.00381887,0.00362703,0.006101443333333333
AFG,1873,0,0.004583162222222222,0.003914753333333333,0.00366146,0.006173273333333333
AFG,1874,0,0.004640105555555555,0.00398794,0.003695963333333333,0.006236413333333332
AFG,1875,0,0.004691035555555555,0.00404657,0.0037305766666666665,0.00629596
AFG,1876,0,0.004737981111111111,0.0040953,0.00376519,0.006353453333333333
AFG,1877,0,0.004782127777777778,0.004136843333333334,0.0037999500000000003,0.006409590000000001
AFG,1878,0,0.004824062222222223,0.004172923333333333,0.003834746666666667,0.006464516666666667
AFG,1879,0,0.0048642,0.004204603333333333,0.003869616666666667,0.006518380000000001
AFG,1880,0,0.005033942222222222,0.00450758,0.0039045966666666665,0.006689649999999999
AFG,1881,0,0.005181024444444445,0.00471988,0.003939576666666667,0.006883616666666668
AFG,1882,0,0.0052756244444444435,0.004870763333333333,0.003974666666666667,0.006981443333333332
AFG,1883,0,0.005351829999999999,0.004983586666666666,0.004009866666666666,0.007062036666666667
AFG,1884,0,0.00541794,0.005072356666666667,0.004045103333333334,0.00713636
AFG,1885,0,0.005477755555555556,0.0051451399999999994,0.004080413333333334,0.007207713333333333
AFG,1886,0,0.005533220000000001,0.00520663,0.004115833333333333,0.007277196666666668
AFG,1887,0,0.0055853844444444445,0.0052595766666666665,0.004151326666666667,0.00734525
AFG,1888,0,0.005634921111111111,0.005305886666666667,0.004186856666666666,0.007412019999999999
AFG,1889,0,0.005682233333333332,0.005346696666666666,0.004222496666666666,0.007477506666666666
AFG,1890,0,0.0057678377777777776,0.005446026666666666,0.004258173333333333,0.007599313333333334
AFG,1891,0,0.005844727777777777,0.00551518,0.0042939599999999994,0.007725043333333333
AFG,1892,0,0.0059007055555555564,0.005570546666666666,0.004329856666666667,0.007801713333333335
AFG,1893,0,0.005952112222222222,0.0056173333333333336,0.00436579,0.007873213333333334
AFG,1894,0,0.0060004877777777785,0.005658033333333333,0.004401796666666667,0.007941633333333335
AFG,1895,0,0.006046663333333334,0.005694113333333333,0.004437913333333333,0.008007963333333335
AFG,1896,0,0.0060909933333333334,0.005726343333333333,0.004474066666666667,0.008072570000000001
AFG,1897,0,0.00613377111111111,0.005755346666666667,0.004510366666666667,0.008135599999999998
AFG,1898,0,0.006175106666666667,0.005781563333333334,0.004546666666666667,0.00819709
AFG,1899,0,0.006215122222222223,0.005805286666666666,0.004583039999999999,0.008257040000000002
AFG,1900,0,0.0062918777777777775,0.0058783633333333325,0.0046195233333333335,0.008377746666666666
AFG,1901,0,0.0063802077777777785,0.00592834,0.0046560433333333335,0.008556240000000001
AFG,1902,0,0.00643148,0.0059650066666666664,0.004692673333333333,0.00863676
