birth_year,r10,case,quantile,emf_impren_0.5,emf_impren_0.33,emf_impren_0.66
1960,AFR,A,0.1,1.0146309205195605,0.9873364807165417,1.02919118226565
1960,AFR,A,0.167,0.980335440629742,0.939485930945936,1.0238099957459934
1960,AFR,A,0.2,1.043518756599715,1.022471063151279,1.0535201190021493
1960,AFR,A,0.3,1.0749937625562251,1.0517901843012238,1.104169154650586
1960,AFR,A,0.33,1.0187495253574266,1.017458971687918,1.027280417586005
1960,AFR,A,0.4,0.9927402914574623,0.9877513254581765,0.9972052162673207
1960,AFR,A,0.5,1.0091525765279719,0.9892933408424974,1.0277494465989527
1960,AFR,A,0.6,0.9723836841721359,0.9673660144398865,0.9767379387848619
1960,AFR,A,0.66,1.021904586337196,1.0119871474256714,1.0305505104824269
1960,AFR,A,0.7,0.9983197837113843,0.992391159609044,1.003539816974591
1960,AFR,A,0.8,1.0218357923674068,1.0150362893559748,1.0277815318590193
1960,AFR,A,0.833,1.0237265447887844,0.9970036980164948,1.0493501003766708
1960,AFR,A,0.9,1.0319993466888773,1.021316935638711,1.0662641091813052
1960,AFR,C,0.1,1.0199986106078331,0.9918469969239446,1.0294065174401017
1960,AFR,C,0.167,1.0213856678222863,0.965038463719595,1.0278481908279031
1960,AFR,C,0.2,1.0459220988013909,1.035041350015186,1.053556261565207
1960,AFR,C,0.3,1.0579323079569596,1.0313002786438148,1.0933745397831038
1960,AFR,C,0.33,1.0425457623871361,1.0228816762806443,1.066635802597909
1960,AFR,C,0.4,1.0116395212710239,0.9909729253868933,1.0275993252642097
1960,AFR,C,0.5,1.0094422666478418,0.9895723128111477,1.0277610342037475
1960,AFR,C,0.6,0.99847657128416,0.976866228284777,1.0218405768709804
1960,AFR,C,0.66,1.030913299510089,1.0125863673456672,1.0537639421652938
1960,AFR,C,0.7,1.003757318360558,0.9933237456915416,1.033646139903622
1960,AFR,C,0.8,0.9853410950135186,0.9534300573008021,1.0193584009125682
1960,AFR,C,0.833,1.0370044936880098,1.0142966746203959,1.0652256862551834
1960,AFR,C,0.9,1.0385853364619013,1.0210027470784118,1.0488211839028447
1960,AFR,E,0.1,1.0114072036758501,0.9918540929372364,1.0296021961544122
1960,AFR,E,0.167,1.022342925890764,0.9895563696384992,1.0458247964540104
1960,AFR,E,0.2,1.051713559754988,1.0383789431683796,1.060198368134067
1960,AFR,E,0.3,1.0530511014710209,1.0291731100967745,1.0993780760144287
1960,AFR,E,0.33,1.0419581780174416,1.0229863311418195,1.0666598650122294
1960,AFR,E,0.4,1.0095802395765947,0.990635734122528,1.0280985299167085
1960,AFR,E,0.5,1.0169933323652884,0.9981589383851551,1.0730219167587833
1960,AFR,E,0.6,0.9984717097427701,0.9769761834158525,1.020823312178418
1960,AFR,E,0.66,1.029536605226845,1.012597699046168,1.0546606862227836
1960,AFR,E,0.7,1.002045391107894,0.9927423253730353,1.0375918213041968
1960,AFR,E,0.8,1.0199893114262253,0.9571372915010211,1.0277064916227157
1960,AFR,E,0.833,1.0340286782055317,1.0266862204418847,1.0485676105038935
1960,AFR,E,0.9,1.046665131642336,1.025537986620331,1.0583272439782945
