model,scen,r10,peakyearbin,pkyearbin,netzeroyearbin,nzyearbin,category,ppp_pf,rcb2100_gtco2_cmltv,gtco2_cdr_cmltv
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,2_PP1850,NA,280.38467421564684,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,MER_1/asinh(x),154.50997188487446,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,MER_1/sqrt(x),230.93189487304457,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,MER_1/x,336.93877158889825,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,PPP_1/asinh(x),151.2385312587289,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,PPP_1/sqrt(x),237.5617063349964,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,PPP_1/x,375.49248713109364,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,MER_1/asinh(x),209.50099818949678,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,MER_1/sqrt(x),285.9229211776669,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,MER_1/x,391.92979789352063,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,PPP_1/asinh(x),206.22955756335122,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,PPP_1/sqrt(x),292.55273263961874,54.207363185300736
IMAGE 3.2,SSP2_SPA2_19I_RE,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,PPP_1/x,430.483513435716,54.207363185300736
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,1_PP1990,NA,139.6342137149243,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,2_PP1850,NA,289.8115086513168,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,MER_1/asinh(x),163.9368063205444,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,MER_1/sqrt(x),240.35872930871452,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,MER_1/x,346.36560602456814,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,PPP_1/asinh(x),160.66536569439884,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,PPP_1/sqrt(x),246.98854077066633,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,3_PP1990adjATP,PPP_1/x,384.91932156676353,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,MER_1/asinh(x),218.92783262516673,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,MER_1/sqrt(x),295.3497556133368,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,MER_1/x,401.3566323291906,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,PPP_1/asinh(x),215.65639199902117,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,PPP_1/sqrt(x),301.9795670752886,46.82441653607229
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2040,2040,4_PP1850adjATP,PPP_1/x,439.91034787138597,46.82441653607229
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,1_PP1990,NA,102.30528624603855,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,2_PP1850,NA,252.482581182431,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/asinh(x),126.60787885165865,39.895939213515895
IMAGE 3.2,SSP1_SPA1_19I_LIRE,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/sqrt(x),203.02980183982876,39.895939213515895
