iso3c,year,gtco2,pp1990,pp1850,pp1990_atp_ppp_pf1,pp1990_atp_ppp_pf2,pp1990_atp_ppp_pf3,pp1990_atp_mer_pf1,pp1990_atp_mer_pf2,pp1990_atp_mer_pf3,pp1850_atp_ppp_pf1,pp1850_atp_ppp_pf2,pp1850_atp_ppp_pf3,pp1850_atp_mer_pf1,pp1850_atp_mer_pf2,pp1850_atp_mer_pf3
ABW,1990,4.8731200000000005e-4,0.01893238887230089,-4.6099976908775195e-4,9.927317097928998e-4,0.004753546738887363,0.014552148769345945,7.321550443348809e-4,0.004228587031745045,0.013595152690630139,-0.02092115222664047,-0.017160337197546005,-0.007361735167087425,-0.02118172889209849,-0.017685296904688327,-0.008318731245803231
ABW,1991,5.3128e-4,0.01844507687230089,-9.48311769087752e-4,4.7009756449177813e-4,0.004179126606077051,0.014020935225475074,2.441690512684948e-4,0.0037445807432053358,0.013135552275851553,-0.02144378637194159,-0.01773475733035632,-0.007892948710958296,-0.021669714885164875,-0.018169303193228032,-0.008778331660581819
ABW,1992,5.38608e-4,0.01791379687230089,-0.001479591769087752,-7.357531846143028e-5,0.0036223873930132824,0.013478579105116989,-3.0857844326899074e-4,0.0031423837513081727,0.012562321915651072,-0.0219874592548948,-0.018291496543420084,-0.00843530483131638,-0.022222462379702358,-0.018771500185125196,-0.009351562020782299
ABW,1993,6.48528e-4,0.01737518887230089,-0.002018199769087752,-6.134352990905333e-4,0.00308659882915884,0.012945978371319769,-8.619537174541853e-4,0.0025582094831976786,0.011999285279473013,-0.022527319235523903,-0.01882728510727453,-0.008967905565113602,-0.022775837653887555,-0.01935567445323569,-0.00991459865696036
ABW,1994,6.5952e-4,0.01672666087230089,-0.0026667277690877516,-0.0012678173501902569,0.0024308032811722552,0.01229872609041166,-0.0015282280342287513,0.001850471336363708,0.011314906258309138,-0.023181701286623627,-0.019483080655261116,-0.00961515784602171,-0.02344211197066212,-0.020063412600069663,-0.010598977678124233
ABW,1995,7.071520000000001e-4,0.01606714087230089,-0.003326247769087752,-0.0019440782081609933,0.0017389027518967416,0.011627331553615752,-0.0021998340403427095,0.0011470499993951836,0.010636675428706471,-0.023857962144594364,-0.02017498118453663,-0.010286552382817615,-0.02411371797677608,-0.02076683393703819,-0.011277208507726899
ABW,1996,7.25472e-4,0.01535998887230089,-0.004033399769087752,-0.0026516843172295764,0.0010399113669968905,0.010932341748338608,-0.0029016275044255967,4.5083523345666905e-4,0.009957144145582011,-0.024565568253662944,-0.020873972569436478,-0.010981542188094762,-0.02481551144085897,-0.0214630487029767,-0.011956739790851361
ABW,1997,7.58448e-4,0.01463451687230089,-0.004758871769087751,-0.0033619743575810635,3.627767050061806e-4,0.010242653359678878,-0.0036152398192458458,-2.4270766495815017e-4,0.009274532928432281,-0.025275858294014436,-0.02155110723142719,-0.01167123057675449,-0.025529123755679214,-0.022156591601391523,-0.012639351008001091
ABW,1998,8.0608e-4,0.01387606887230089,-0.0055173197690877515,-0.004112837829445234,-3.6911042366307486e-4,0.009506501957298507,-0.004370648204712691,-9.927907893961217e-4,0.008540390355478471,-0.026026721765878603,-0.022282994360096443,-0.012407381979134862,-0.026284532141146063,-0.022906674725829492,-0.013373493580954899
ABW,1999,8.09744e-4,0.013069988872300889,-0.006323399769087751,-0.004920220599528376,-0.0011724713059063528,0.008707815030573048,-0.005182244700861401,-0.0018154190410624507,0.007736210577458646,-0.026834104535961748,-0.023086355242339724,-0.013206068905860322,-0.027096128637294773,-0.02372930297749582,-0.014177673358974723
ABW,2000,0.002377936,0.01226024487230089,-0.007133143769087752,-0.005727194146298102,-0.0019739192592472905,0.007908144692343863,-0.00599527641255989,-0.002634845450579822,0.006931593935768799,-0.027641078082731474,-0.02388780319568066,-0.014005739244089507,-0.02790916034899326,-0.02454872938701319,-0.01498229000066457
ABW,2001,0.0024072480000000003,0.009882308872300889,-0.009511079769087752,-0.00808020936381386,-0.004291373048860083,0.00556867851630111,-0.008383845696747716,-0.005034059474049522,0.004542182884898655,-0.02999409330024723,-0.026205256985293454,-0.016345205420132257,-0.030297729633181086,-0.026947943410482893,-0.017371701051534717
ABW,2002,0.00243656,0.007475060872300888,-0.011918327769087753,-0.010472333663501936,-0.006663098773047588,0.0031862206718882395,-0.010788764157897444,-0.007441079260824059,0.0021456828764073593,-0.032386217599935305,-0.02857698270948096,-0.018727663264545127,-0.032702648094330815,-0.02935496319725743,-0.01976820106002601
ABW,2003,0.002561136,0.005038500872300889,-0.014354887769087752,-0.01286729827215349,-0.009002298834969918,8.069570016855637e-4,-0.013223129019301873,-0.009871127884575205,-2.748258748599391e-4,-0.034781182208586864,-0.03091618277140329,-0.021106926934747805,-0.03513701295573524,-0.031785011821008576,-0.022188709811293308
