r10,iso3c,country.name,pop_20202050,pop_19902019,pop_19902050,pop_18502050,pop_18501989,gtco2_18501989,co2_19902019_gt,gdp2017ppp_19902019_pc,gdp2017mer_19902019_pc
AFR,AGO,Angola,1099622369.6932776,605037578,1704659947.6932776,2301906795.6932783,597246848,0.110573018,0.5180617,5626.017871178408,2338.667558443065
AFR,BDI,Burundi,436471127.49889797,232462093,668933220.498898,981096537.4988981,312163317,0.003560049,0.008647532999999999,817.1641514250831,200.79591790836477
AFR,BEN,Benin,481844487.54189336,241505963,723350450.5418935,983939721.5418934,260589271,0.011219103999999999,0.09380502700000001,2194.7033227213733,862.9208042926489
AFR,BFA,Burkina Faso,933574337.1729783,411711915,1345286252.1729782,1847488144.1729784,502201892,0.008721464,0.05506758199999999,1591.87768409769,535.4962877479143
AFR,BWA,Botswana,77789126.52862991,53649097,131438223.5286299,180813713.52862996,49375490,0.014853855999999999,0.12885835599999998,12848.560252066078,5209.534312512714
AFR,CAF,Central African Republic,198168269.6949884,116945927,315114196.6949883,499054269.6949883,183940073,0.005027297,0.006056591999999999,1019.6881084516094,392.66656524092554
AFR,CIV,Cote d'Ivoire,853339422.9462981,551895122,1405234544.9462984,1811405561.9462981,406171017,0.112812729,0.21916530099999998,3060.066993806479,1529.9105394179117
AFR,CMR,Cameroon,899253490.4066314,540230457,1439483947.406632,2041296951.4066305,601813004,0.065955706,0.19448806500000004,2957.3041301496814,1195.47055011406
AFR,COD,Democratic Republic of the Congo,3631732076.582316,1701188217,5332920293.582313,7125997248.582313,1793076955,0.126320151,0.085522159,816.9450672051211,332.6850946061625
AFR,COG,Congo,203254150.9073687,110897117,314151267.9073687,432978331.9073687,118827064,0.023984737000000002,0.126178817,4133.2742425181805,2058.530116866597
AFR,COM,Comoros,34343939.37702106,18443131,52787070.37702106,73477028.37702106,20689958,9.453120000000003e-4,0.004103680000000001,3125.9766641109163,1136.0712184330564
AFR,CPV,Cabo Verde,17466407.325963836,13603463,31069870.325963836,56132699.325963825,25062829,0.0022268710000000005,0.011596559999999997,5030.350332951812,2602.358644437625
AFR,DJI,Djibouti,37989513.02093282,23188418,61177931.02093282,74130145.02093278,12952214,0.006734432000000002,0.011928217,3733.430438465215,1468.18818328353
AFR,DZA,Algeria,1424417460.2132874,1007984345,2432401805.213287,3557223736.2132874,1124821931,1.1505804529999997,3.399801697,11526.972363345583,3275.3487153231586
AFR,EGY,Egypt,3464552156.054413,2281299677,5745851833.054413,8258558262.054412,2512706429,1.330183649,4.9151658970000005,8174.181504081281,1991.0546749927569
AFR,ETH,Ethiopia,4138212450.913408,2311602950,6449815400.913409,9461544166.913406,3011728766,0.04569455300000001,0.19878197,1186.182987761804,368.3507661765089
AFR,GAB,Gabon,64838673.74656393,43623969,108462642.74656394,170530833.74656388,62068191,0.112482137,0.17138365499999997,13989.187209000285,6946.791947114804
AFR,GHA,Ghana,1198266061.5436907,659688139,1857954200.5436907,2533463600.543691,675509400,0.08236177399999998,0.24523618999999997,4070.6757703847393,1124.7791856296553
AFR,GIN,Guinea,433177128.5736273,276185751,709362879.5736271,1054036201.5736271,344673322,0.026882997999999998,0.057005503000000006,2498.1236637231514,609.9087282648777
AFR,GMB,Gambia,86425772.56481059,46983148,133408920.56481063,174392979.5648106,40984059,0.0030447840000000005,0.010801472000000001,2708.958402589105,681.3507154924848
AFR,GNB,Guinea-Bissau,67888610.12283045,41285438,109174048.12283042,168350647.12283045,59176599,0.0032682880000000007,0.006569552,1657.6677486744843,478.40237581327364
AFR,GNQ,Equatorial Guinea,37888839.30683882,23819470,61708309.30683881,87295713.3068388,25587404,0.0019492480000000002,0.125936891,24156.182258386274,10270.10789913612
AFR,KEN,Kenya,2023502215.682824,1109224286,3132726501.682823,4053068879.6828237,920342378,0.13867123900000003,0.324136163,2762.25365998703,921.1990284487362
AFR,LBR,Liberia,261023582.19774234,98410341,359433923.1977424,475732106.1977424,116298183,0.031350277,0.016962615,938.8703261397633,423.08576189162886
AFR,LSO,Lesotho,78543680.60157412,59348726,137892406.60157406,216245922.60157403,78353516,0,0.061712751999999996,2748.982758479411,780.7417873036176
AFR,MAR,Morocco,1136091054.7630236,914527094,2050618148.763024,3203923408.763023,1153305260,0.37904281200000006,1.2939830870000002,6144.381382319111,2427.2808141666433
AFR,MDG,Madagascar,1126108163.415734,554217136,1680325299.4157338,2259254384.4157333,578929085,0.031025749000000005,0.06158863300000002,1463.9961615434875,415.8120033862617
AFR,MLI,Mali,878601864.1235526,393970918,1272572782.123553,1794049710.123553,521476928,0.008854475999999997,0.056543034000000006,1677.790254798785,584.1802232629253
AFR,MOZ,Mozambique,1119617749.1073616,621509322,1741127071.107362,2560408058.107361,819280987,0.083839888,0.08632565099999999,1092.4958632901246,433.22890427769903
AFR,MRT,Mauritania,166460646.5885523,92801424,259262070.58855233,346955193.58855236,87693123,0.020646477,0.052627095,3947.0654032104344,1277.9231304461841
AFR,MUS,Mauritius,44279708.44821126,35946392,80226100.44821127,150199028.44821125,69972928,0.018605792,0.09325979199999998,17247.958839608644,6400.215423254993
AFR,MWI,Malawi,925057204.8409991,390498866,1315556070.840999,1740705960.8409996,425149890,0.018924148,0.029725213,1136.4024302994071,451.25145925061764
AFR,NAM,Namibia,94028488.29105845,58350862,152379350.2910585,209441563.2910585,57062213,0,0.071005018,7937.421719906426,3815.719774555413
AFR,NER,Niger,1097957461.8560903,425740940,1523698401.8560903,1872035529.85609,348337128,0.013362077000000002,0.033027059,1128.350294521975,412.539001747293
AFR,NGA,Nigeria,8787898151.735004,4236040774,13023938925.735006,17563388061.73501,4539449136,1.2586459010000002,2.7786710279999993,3324.0666422422046,1603.2478296943168
AFR,RWA,Rwanda,568135786.262155,267028102,835163888.2621552,1165157070.2621548,329993182,0.008723764,0.019432978,1480.9524545686324,497.2602243960717
