model,scen,r10,peakyearbin,netzeroyearbin,terr_GtCO2_cmltv,terr_GtCO2_orig_cmltv,terr_GtCO2_cdr_cmltv,modelledpaths,pkyearbin,nzyearbin
AIM/CGE 2.2,EN_INDCi2030_1400,R10INDIA+,peak: 2030,net-zero: 2070,92.86299126616025,87.51661816,5.467827519999999,22,2030,2070
AIM/CGE 2.2,EN_INDCi2030_1400,R10LATIN_AM,peak: 2030,net-zero: 2070,66.9022448613279,70.52959680000002,10.541145599999998,45,2030,2070
AIM/CGE 2.2,EN_INDCi2030_1400,R10MIDDLE_EAST,peak: 2030,net-zero: 2110,99.10581586360365,102.29355840000002,0,189,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1400,R10NORTH_AM,peak: 2020,net-zero: 2110,183.97770440577438,183.40115985999992,0,262,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1400,R10PAC_OECD,peak: 2020,net-zero: 2110,50.80253433089568,51.455168400000005,0,249,2020,2110
AIM/CGE 2.2,EN_INDCi2030_1400,R10REF_ECON,peak: 2030,net-zero: 2110,98.30226734425003,107.76147387999997,0,82,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1400,R10REST_ASIA,peak: 2030,net-zero: 2110,107.94158710993901,120.77492327999997,0,109,2030,2110
AIM/CGE 2.2,EN_INDCi2030_1400f,R10AFRICA,peak: 2050,net-zero: 2080,78.10358719084039,81.90849807999999,1.2976805800000002,3,2050,2080
AIM/CGE 2.2,EN_INDCi2030_1400f,R10CHINA+,peak: 2030,net-zero: 2080,388.3210046327052,395.86329226000015,12.620234820000002,12,2030,2080
AIM/CGE 2.2,EN_INDCi2030_1400f,R10EUROPE,peak: 2020,net-zero: 2080,139.59291850420794,139.46254000000002,3.3244743999999997,37,2020,2080
AIM/CGE 2.2,EN_INDCi2030_1400f,R10INDIA+,peak: 2030,net-zero: 2080,98.61650956886895,93.22060534,11.969895740000002,17,2030,2080
