iso3c,m49code,r5_iamc,r6_ipcc,r10_unif,r10_iamc,r10_ipcc,r10_message,r11_message,r12_message,r12_remind,r12_witch,r22_ipcc,m49hi_ipcc,m49med_ipcc,m49lo_ipcc,m49dev_ipcc,m49sids_ipcc,m49lldc_ipcc,m49ldc_ipcc,annexi_ipcc,wmo_ipcc,eu_ipcc,oecd_ipcc,wb_ipcc
MYS,458,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,NA,NA,NA,Non-Annex I,V,NA,NA,Upper middle
NCL,540,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
NIU,570,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,cajaz,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,N/A
NRU,520,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,kosau,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,High
PCN,612,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Europe,Western Europe,R12PAS,Other Asia,cajaz,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
PHL,608,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,NA,NA,NA,Non-Annex I,V,NA,NA,Lower-middle
PLW,585,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,High
PNG,598,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,Lower-middle
PRK,408,R5ASIA,Asia and developing Pacific,R10EASPAS,R10CHINA+,Eastern Asia,Centrally Planned Asia and China,Centrally Planned Asia and China,R12RCPA,Other Asia,easia,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,Low
PYF,258,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
SGP,702,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,High
SLB,90,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,NA,LDC,Non-Annex I,V,NA,NA,Lower-middle
THA,764,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,Upper middle
TKL,772,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Pacific OECD,Pacific OECD,R12PAS,Other Asia,cajaz,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
TLS,626,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,SIDS,NA,LDC,Non-Annex I,V,NA,NA,Lower-middle
TON,776,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,Upper middle
TUV,798,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,cajaz,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,NA,LDC,Non-Annex I,V,NA,NA,Upper middle
TWN,NA,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,Eastern Asia,Other Pacific Asia,Other Pacific Asia,R12PAS,China,china,Eastern Asia,Asia,Eastern Asia,Eastern Asia,Developing,NA,NA,NA,Territory,N/A,NA,NA,High
UMI,581,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,North America,North America,NA,Other Asia,cajaz,Developing Pacific,Oceania,Micronesia,Micronesia,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
VNM,704,R5ASIA,Asia and developing Pacific,R10EASPAS,R10CHINA+,South-East Asia and developing Pacific,Centrally Planned Asia and China,Centrally Planned Asia and China,R12RCPA,Other Asia,easia,South-East Asia,Asia,South-Eastern Asia,South-Eastern Asia,Developing,NA,NA,NA,Non-Annex I,II,NA,NA,Lower-middle
VUT,548,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Melanesia,Melanesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,Lower-middle
WLF,876,NA,Asia and developing Pacific,R10EASPAS,NA,South-East Asia and developing Pacific,Europe,Western Europe,R12PAS,Other Asia,cajaz,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
WSM,882,R5ASIA,Asia and developing Pacific,R10EASPAS,R10REST_ASIA,South-East Asia and developing Pacific,Other Pacific Asia,Other Pacific Asia,R12PAS,Other Asia,easia,Developing Pacific,Oceania,Polynesia,Polynesia,Developing,SIDS,NA,NA,Non-Annex I,V,NA,NA,Lower-middle
ALA,248,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,NA,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Territory,N/A,NA,NA,N/A
ALB,8,R5OECD90+EU,Developed Countries,R10EUR,NA,Europe,Europe,Eastern Europe,R12EEU,Non-EU28 Europe,te,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Non-Annex I,VI,NA,NA,Upper middle
AND,20,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Non-Annex I,VI,NA,NA,High
AUT,40,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
BEL,56,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
BGR,100,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,NA,NA,NA,Annex I,VI,EU,NA,Upper middle
BIH,70,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,Non-EU28 Europe,te,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Non-Annex I,VI,NA,NA,Upper middle
CHE,756,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,NA,NA,NA,Annex I,VI,NA,OECD,High
CYP,196,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Southern and eastern Europe,Asia,Western Asia,Western Asia,Developed,NA,NA,NA,Annex I,VI,EU,NA,High
CZE,203,R5OECD90+EU,Developed Countries,R10EUR,NA,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
DEU,276,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
DNK,208,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
ESP,724,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
EST,233,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
FIN,246,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
FRA,250,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
FRO,234,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Territory,N/A,NA,NA,High
GBR,826,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,NA,OECD,High
GGY,831,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,NA,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Channel Islands,Developed,NA,NA,NA,Territory,N/A,NA,NA,High
GIB,292,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Territory,N/A,NA,NA,High
GRC,300,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
GRL,304,NA,Developed Countries,R10EUR,NA,North America,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,"Greenland, Bermuda + others",Americas,Northern America,Northern America,Developed,NA,NA,NA,Territory,N/A,NA,NA,High
HRV,191,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Annex I,VI,EU,NA,High
HUN,348,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
IMN,833,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Territory,N/A,NA,NA,High
IRL,372,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
ISL,352,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,NA,OECD,High
ITA,380,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
JEY,832,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,NA,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Channel Islands,Developed,NA,NA,NA,Territory,N/A,NA,NA,High
LIE,438,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,NA,NA,NA,Annex I,VI,NA,NA,High
LTU,440,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
LUX,442,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
LVA,428,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
MCO,492,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,NA,NA,NA,Annex I,VI,NA,NA,High
MKD,807,R5OECD90+EU,Europe,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,Non-EU28 Europe,te,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,LLDC,NA,Non-Annex I,VI,NA,NA,Upper middle
MLT,470,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Annex I,VI,EU,NA,High
MNE,499,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,Non-EU28 Europe,te,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Non-Annex I,VI,NA,NA,Upper middle
NLD,528,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Western Europe,Western Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
NOR,578,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,NA,OECD,High
POL,616,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
PRT,620,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
ROU,642,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,NA,NA,NA,Annex I,VI,EU,NA,Upper middle
SJM,744,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Territory,N/A,NA,NA,N/A
SMR,674,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Non-Annex I,VI,NA,NA,High
SRB,688,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,Non-EU28 Europe,te,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Non-Annex I,VI,NA,NA,Upper middle
SVK,703,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
SVN,705,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Eastern Europe,R12EEU,EU 28,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
SWE,752,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,EU 28,europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,NA,NA,NA,Annex I,VI,EU,OECD,High
TUR,792,R5OECD90+EU,Developed Countries,R10EUR,R10EUROPE,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,te,Southern and eastern Europe,Asia,Western Asia,Western Asia,Developed,NA,NA,NA,Annex I,VI,NA,OECD,Upper middle
VAT,336,NA,Developed Countries,R10EUR,NA,Europe,Europe,Western Europe,R12WEU,Non-EU28 Europe,europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,NA,NA,NA,Territory,N/A,NA,NA,N/A
ARM,51,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Asia,Western Asia,Western Asia,Developing,NA,LLDC,NA,Non-Annex I,VI,NA,NA,Upper middle
AZE,31,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Asia,Western Asia,Western Asia,Developing,NA,LLDC,NA,Non-Annex I,VI,NA,NA,Upper middle
BLR,112,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Europe,Eastern Europe,Eastern Europe,Developed,NA,NA,NA,Annex I,VI,NA,NA,Upper middle
GEO,268,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Asia,Western Asia,Western Asia,Developing,NA,NA,NA,Non-Annex I,VI,NA,NA,Upper middle
KAZ,398,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,NA,LLDC,NA,Non-Annex I,II,NA,NA,Upper middle
KGZ,417,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,NA,LLDC,NA,Non-Annex I,II,NA,NA,Lower-middle
MDA,498,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Europe,Eastern Europe,Eastern Europe,Developed,NA,LLDC,NA,Non-Annex I,VI,NA,NA,Upper middle
RUS,643,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Europe,Eastern Europe,Eastern Europe,Developed,NA,NA,NA,Annex I,VI,NA,NA,Upper middle
TJK,762,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,NA,LLDC,NA,Non-Annex I,II,NA,NA,Lower-middle
TKM,795,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,NA,LLDC,NA,Non-Annex I,II,NA,NA,Upper middle
UKR,804,R5REF,Developed Countries,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Europe,Eastern Europe,Eastern Europe,Developed,NA,NA,NA,Annex I,VI,NA,NA,Lower-middle
UZB,860,R5REF,Eastern Europe and West-Central Asia,R10FSU,R10REF_ECON,Eastern Europe and West-Central Asia,Former Soviet Union,Former Soviet Union,R12FSU,Countries from the Reforming Economies of the Former Soviet Union,te,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,NA,LLDC,NA,Non-Annex I,II,NA,NA,Lower-middle
ABW,533,R5LAM,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,High
AIA,660,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,N/A
ARG,32,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Non-Annex I,III,NA,NA,Upper middle
ATG,28,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,High
BES,535,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,NA,NA,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Territory,N/A,NA,NA,N/A
BHS,44,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,High
BLM,652,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,Europe,Western Europe,NA,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
BLZ,84,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,Lower-middle
BMU,60,NA,Developed Countries,R10LAM,NA,North America,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,"Greenland, Bermuda + others",Americas,Northern America,Northern America,Developed,NA,NA,NA,Territory,N/A,NA,NA,High
BOL,68,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,LLDC,NA,Non-Annex I,III,NA,NA,Lower-middle
BRA,76,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Non-Annex I,III,NA,NA,Upper middle
BRB,52,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,Caribbean,Americas,Latin America and the Caribbean,Caribbean,Developing,SIDS,NA,NA,Non-Annex I,IV,NA,NA,High
BVT,74,NA,Latin America and Caribbean,R10LAM,NA,Latin America and Caribbean,NA,NA,NA,Latin America and the Caribbean,ssa,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Territory,N/A,NA,NA,N/A
CHL,152,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Non-Annex I,III,NA,OECD,High
COL,170,R5LAM,Latin America and Caribbean,R10LAM,R10LATIN_AM,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,R12LAM,Latin America and the Caribbean,laca,South America,Americas,Latin America and the Caribbean,South America,Developing,NA,NA,NA,Non-Annex I,III,NA,OECD,Upper middle
