Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2050,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|CH4,Mt CH4/yr,48.34667512,51.26694883,51.94188931,47.8434811,45.27661417,44.65649193,51.40377901,56.38570002,59.67621633,61.58979207,62.2005525
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|CO2|AFOLU,Mt CO2/yr,1566.0931,1523.76686,1513.1853,727.3433861,756.1382021,506.5291338,-87.34603447,-426.8341407,-541.7028256,-687.456317,-629.9321489
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,1402.728636,1542.556547,1585.772596,1666.891829,1936.194242,2458.879405,3466.163563,4279.773465,6510.616537,9747.404359,13147.13141
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|F-Gases,Mt CO2-equiv/yr,32.489317,37.8589444,40.81142903,41.58612332,48.8286899,42.27163684,73.37185475,131.1900704,232.8722752,377.9721936,584.4986972
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10AFRICA,Emissions|N2O,kt N2O/yr,1083.894496,1172.18942,1180.746267,1109.455598,1056.362974,1002.808045,1043.50312,1107.657516,1250.509109,1347.190546,1461.467116
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|CH4,Mt CH4/yr,71.39241731,71.92921571,72.15392476,51.07990712,43.92557729,40.68676486,38.41967489,36.90678038,36.19243409,35.8415359,33.09910313
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|CO2|AFOLU,Mt CO2/yr,142.2736333,119.7605933,114.1323333,-172.508742,-295.5418935,-454.3662539,-591.425334,-660.8649333,-677.7997125,-660.7886467,-638.1790813
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,12108.61966,13030.59674,13178.75697,11766.16047,11653.34308,11837.81857,12206.15139,12146.72576,12229.18131,12218.65968,11756.31006
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|F-Gases,Mt CO2-equiv/yr,617.9365677,780.1023214,850.8841139,1086.71487,1198.50605,1128.701418,1381.925007,1646.462642,1874.893781,2004.67908,2121.679689
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10CHINA+,Emissions|N2O,kt N2O/yr,1648.865664,1566.115668,1581.938474,1628.830329,1651.169635,1602.062193,1474.94608,1397.298716,1380.994853,1361.89216,1372.200463
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10EUROPE,Emissions|CH4,Mt CH4/yr,28.94879145,28.05435629,27.88230249,27.86272028,24.96671476,18.57236118,20.75580889,22.44950175,24.29044753,26.34056821,27.20832467
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10EUROPE,Emissions|CO2|AFOLU,Mt CO2/yr,73.7,68.07152,66.6644,-10.21720665,-67.79350132,-121.0156036,-220.578777,-302.8517629,-348.2525263,-381.7563879,-379.4523381
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R10EUROPE,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,4341.540826,4160.873241,4017.606533,4966.000541,4819.130137,5159.618075,5533.897289,5849.624237,6462.560462,6819.253362,7204.73249
