Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2045,2050,2053,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8EUROPE,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,5490.811546569312,5282.864920745685,5132.258178842219,5938.379966072611,5607.208162545021,5655.432831734011,5703.657500923003,5779.351615253348,5955.971215357487,6166.663800788087,6771.002804413431,7130.067325250812,7540.80572127266
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8EUROPE,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,5537.967803555877,5327.562592021651,5177.144910244444,5977.913330590616,5645.164963814227,5687.652626881737,5730.140289949245,5808.834929961594,5992.45575665707,6211.4948335894915,6816.700757600366,7173.859271942438,7582.972631812374
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8EUROPE,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,5692.670347262832,5490.10442401328,5335.948453647431,6128.438956230599,5837.783122320145,5867.306503632208,5896.82988494427,5995.564109129694,6225.943965562348,6530.442584525419,7183.498007969308,7585.787953562594,8034.492307393683
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8INDIA+,Emissions|CO2,Mt CO2/yr,2659.5852475320266,3090.0467168893088,3179.304975515168,3877.4518854080166,5225.874374236468,6011.824307114455,6797.774239992443,7398.749694880238,8801.025756285093,10787.695024997858,13453.896168773605,16115.604046594934,17778.466139518612
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8INDIA+,Emissions|CO2|AFOLU,Mt CO2/yr,52.13777229519005,54.64815619782969,53.1189619118782,36.10642948348472,8.147721279946,1.8544727269039694,-4.438775826138061,-14.479695245270918,-37.908507223247575,-64.64969656415832,-84.68769351490047,-85.62286478076166,-83.22411617756119
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8INDIA+,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2607.4474752368365,3035.398560691479,3126.1860136032897,3841.345455924532,5217.726652956521,6009.969834387552,6802.213015818581,7413.22939012551,8838.934263508341,10852.344721562016,13538.583862288506,16201.226911375696,17861.690255696172
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8INDIA+,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,4147.514776005243,4655.974204855937,4747.198214800319,5652.958466256891,7173.390702441116,8009.516849034116,8845.642995627113,9470.147839713682,10927.325809249009,13108.531387380783,15668.8527140788,18271.87280514573,19917.964818700202
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8INDIA+,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,4245.5828529255505,4757.056187677152,4848.1402528132885,5763.560964868434,7288.933774727072,8123.368243678949,8957.802712630824,9580.264921309848,11032.676741560901,13216.935164029968,15746.069186183984,18318.52673493266,19938.141770770915
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8INDIA+,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,4306.284475195622,4834.193723932436,4929.662685348476,5810.116323958925,7337.546718343392,8178.624454696649,9019.702191049906,9658.561495195467,11149.23320486844,13490.063635349945,16195.959104628868,18963.977136619942,20727.100168193865
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi,R8LATIN_AM,Emissions|CO2,Mt CO2/yr,4171.617676547614,3893.9977756110256,3878.5722501704436,4661.80712251459,4652.576752594757,4594.475250730669,4536.373748866582,4600.879950299482,4751.394420309578,4237.587494680565,2861.8244959020894,3566.5498777664657,5058.961767466894
